#Mapping quality	mapping quality
0.0	1.555788E7
1.0	1.5007303E7
2.0	1.6402399E7
3.0	1.6375839E7
4.0	1.6819264E7
5.0	1.3462565E7
6.0	3.9778396E7
7.0	1.4491104E7
8.0	1.7243078E7
9.0	1.1992509E7
10.0	1.0613284E7
11.0	1.2846721E7
12.0	1.2808867E7
13.0	1.1615959E7
14.0	1.0930126E7
15.0	1.2620257E7
16.0	1.2227364E7
17.0	1.1541774E7
18.0	1.3164261E7
19.0	1.1115812E7
20.0	1.1443076E7
21.0	1.5340208E7
22.0	1.5723777E7
23.0	2.7942203E7
24.0	2.4382474E7
25.0	1.541508E7
26.0	1.663721E7
27.0	1.8279725E7
28.0	2.0606495E7
29.0	2.2365495E7
30.0	2.4107757E7
31.0	2.386616E7
32.0	3.3179107E7
33.0	3.0846356E7
34.0	3.0624386E7
35.0	3.6166395E7
36.0	3.8741092E7
37.0	4.1905656E7
38.0	4.5772859E7
39.0	3.8738996E7
40.0	4.2094577E7
41.0	1.30299765E8
42.0	3.54862876E8
