#Duplication rate	Coverage
1.0	4.6829561E7
2.0	1448012.0
3.0	165276.0
4.0	69965.0
5.0	40006.0
6.0	25683.0
7.0	17599.0
8.0	12771.0
9.0	9319.0
10.0	7099.0
11.0	5607.0
12.0	4356.0
13.0	3585.0
14.0	2883.0
15.0	2315.0
16.0	1922.0
17.0	1660.0
18.0	1350.0
19.0	1180.0
20.0	979.0
21.0	789.0
22.0	711.0
23.0	617.0
24.0	482.0
25.0	425.0
26.0	379.0
27.0	291.0
28.0	264.0
29.0	239.0
30.0	211.0
31.0	193.0
32.0	173.0
33.0	125.0
34.0	130.0
35.0	111.0
36.0	98.0
37.0	83.0
38.0	73.0
39.0	52.0
40.0	74.0
41.0	47.0
42.0	49.0
43.0	49.0
44.0	46.0
45.0	32.0
46.0	47.0
47.0	28.0
48.0	31.0
49.0	29.0
50.0	395.0
