#Position (bp)	insert size
2100169.5	344.00265320095855
6300507.5	343.62800316675555
1.05008455E7	343.7547166512214
1.47011835E7	343.995506262549
1.89015215E7	344.64692918218464
2.31018595E7	344.35656718987184
2.73021975E7	343.71973691670917
3.15025355E7	342.7115688037596
3.57028735E7	342.9557839694461
3.8653933E7	340.6245153786508
4.0754102E7	344.10742214295516
4.41035495E7	344.1571923045963
4.83038875E7	344.8626026382563
5.25042255E7	344.43471255950203
5.67045635E7	343.92750469630556
6.09049015E7	344.0596362131891
6.51052395E7	342.4350938187024
6.75716935E7	342.0647187329328
6.96718625E7	343.86054576154254
7.35059155E7	343.54142517534723
7.77062535E7	344.0285372848948
8.19065915E7	344.27949853712755
8.61069295E7	344.1689177968447
9.03072675E7	343.9987021797481
9.45076055E7	343.86679366523555
9.87079435E7	343.7864292064585
1.029082815E8	340.4066452472377
1.061478055E8	341.6832057905351
1.082479745E8	341.46932180029467
1.113089575E8	343.7166225130238
1.155092955E8	344.05163817663816
1.197096335E8	344.49085074546144
1.239099715E8	344.12480501985254
1.281103095E8	343.5336468691212
1.323106475E8	344.8274276880517
1.365109855E8	343.8830895578104
1.407113235E8	343.2633036490009
1.431893125E8	346.0358802016408
1.452894815E8	344.0040822735123
1.491119995E8	342.11735105065554
1.533123375E8	342.92853972481134
1.575126755E8	344.96210914427877
1.617130135E8	344.92787958920115
1.659133515E8	344.1854535190064
1.701136895E8	344.34395689990913
1.743140275E8	344.6645004192737
1.785143655E8	343.90515330624305
1.82081576E8	343.82187993680884
1.84181745E8	344.4781196060514
1.869150415E8	343.07302166390855
1.911153795E8	344.37315862924487
1.953157175E8	345.08868085340373
1.995160555E8	344.1636783055468
2.037163935E8	344.30262514516227
2.079167315E8	344.64384705293037
2.121170695E8	343.3498508178779
2.159577405E8	342.7551763133546
2.180579095E8	343.0022172949002
2.205177455E8	344.13247211940876
2.247180835E8	343.6438971675577
2.289184215E8	343.8219628268924
2.331187595E8	344.738875276926
2.373190975E8	344.3606345509288
2.415194355E8	344.60263338901444
2.457197735E8	344.7439807856659
2.499201115E8	342.7856852720779
2.541204495E8	343.9323827046918
2.583207875E8	343.3583293872526
2.625211255E8	343.45780425243254
2.64771353E8	342.481228668942
2.66871522E8	342.8403096330275
2.709218015E8	343.86654515075566
2.751221395E8	343.8742263450835
2.793224775E8	344.0213855096597
2.835228155E8	343.58031183226495
2.877231535E8	343.0188077947861
2.911785265E8	344.53317580943866
2.932786955E8	343.22290898215533
2.961238295E8	345.2792928317094
3.003241675E8	344.3149802655185
3.045245055E8	344.78962553620227
3.087248435E8	344.53126034784526
3.129251815E8	344.51837094142957
3.171255195E8	343.8729386659972
3.213258575E8	340.4416792118452
3.242401025E8	342.90755711775046
3.263402715E8	343.75526296396373
3.297265335E8	344.3579549569122
3.339268715E8	344.2787127121863
3.381272095E8	344.6195065686581
3.423275475E8	343.1793565856489
3.45205241E8	340.8749150657854
3.4730541E8	334.38449867648006
3.507282235E8	343.497104454136
3.549285615E8	344.8561664151868
3.591288995E8	344.3087233245975
3.633292375E8	343.9130048339311
3.675295755E8	344.06727194501747
3.71240276E8	341.11147742083875
3.73340445E8	343.19752099160337
3.759302515E8	343.0049046321526
3.801305895E8	344.2920368865095
3.843309275E8	344.22167728552375
3.885312655E8	344.6562006288826
3.927316035E8	344.37682600520685
3.969319415E8	342.1107241684393
3.995115505E8	343.77814996135015
4.016117195E8	345.373869864618
4.053326175E8	342.33975546498704
4.095329555E8	343.9198450581794
4.137332935E8	345.09477947350223
4.179336315E8	344.1230291726168
4.221339695E8	343.9251542412022
4.263343075E8	341.97846724250326
4.29544739E8	342.0756962025317
4.31644908E8	344.4164891098485
4.347349835E8	344.6056677658697
4.389353215E8	343.7232800246567
4.431356595E8	344.3518586272501
4.473359975E8	344.52381456579667
4.515363355E8	344.52798380482017
4.557366735E8	343.69807452601196
4.594834625E8	343.2771124217622
4.615836315E8	343.044329589504
4.641373495E8	344.6426993811367
4.683376875E8	343.77687072032245
4.725380255E8	344.0925867006045
4.767383635E8	344.92106555948214
4.809387015E8	344.2433474675303
4.851390395E8	341.9040269202959
4.88957394E8	344.35524830699774
4.91057563E8	344.4964366260713
4.935397155E8	344.3857447771813
4.977400535E8	343.8391396641069
5.019403915E8	343.8869041513415
5.061407295E8	344.06874685901795
5.103410675E8	343.23745819397993
5.133447625E8	340.8693568236285
5.154449315E8	343.69165899466026
5.187417435E8	343.9654593207916
5.229420815E8	343.9504196789609
5.271424195E8	344.41545493747304
5.313427575E8	344.4129157600249
5.355430955E8	336.11184458385884
5.397434335E8	344.2190855047174
5.424857625E8	344.90326861293477
5.445859315E8	343.4008867823561
5.481441095E8	344.0809988692647
5.523444475E8	344.10692760651193
5.565447855E8	341.0994733598521
5.607451235E8	344.83248723179094
5.649454615E8	344.11505726420864
5.691457995E8	343.58719908092394
5.72266017E8	341.3247201538537
5.74366186E8	343.0381520975672
5.775464755E8	342.5330693800517
5.817468135E8	343.3058289924538
5.859471515E8	344.1905136664951
5.901474895E8	344.0805260256713
5.943478275E8	344.4082823244918
5.97053186E8	344.550213506247
5.99153355E8	345.3867584398558
6.027485035E8	342.02853270769276
6.069488415E8	344.0820868138747
6.111491795E8	344.2437900803637
6.153495175E8	344.58016983396374
6.195498555E8	343.0949614632463
6.234487385E8	343.23292361894585
6.255489075E8	343.65811965811963
6.279505315E8	341.9230048547824
6.321508695E8	344.0075174976238
6.363512075E8	343.5378161387018
6.405515455E8	343.46010046697995
6.447518835E8	343.1824098290858
6.487291505E8	344.20272913147835
6.508293195E8	342.2218616913405
6.531525595E8	343.2933809983332
6.573528975E8	342.64747122990707
6.615532355E8	343.89747669009404
6.657535735E8	343.5120310998905
6.699539115E8	341.9788194699361
6.72448791E8	336.4028059990324
6.7454896E8	344.12938676265054
6.783545875E8	343.76048806572356
6.825549255E8	343.94303626266964
6.867552635E8	344.8859506790042
6.909556015E8	343.20329804178766
6.951559395E8	342.3749687377184
6.978079805E8	344.5409554359033
6.999081495E8	342.99539475358114
7.035566155E8	344.2369214749919
7.077569535E8	344.3879017507186
7.119572915E8	343.98411138966054
7.161576295E8	343.5227269009961
7.203579675E8	343.1915514755021
7.23336906E8	340.7151343548745
7.25437075E8	342.2647335055177
7.287586435E8	342.8989139008555
7.329589815E8	344.10175946509503
7.371593195E8	343.6289910699085
7.413596575E8	343.14203470031543
7.44593176E8	341.12119892590175
7.46693345E8	344.5491711885825
7.497603335E8	344.62539155539514
7.539606715E8	344.1066192340324
7.581610095E8	344.0357646951691
7.623613475E8	343.3891889562444
7.665616855E8	343.2991788168259
7.707620235E8	341.7789777241562
7.749623615E8	343.90323866467367
7.791626995E8	345.10799015937533
7.833630375E8	343.27613183776316
7.85832245E8	343.00256986829424
7.87932414E8	344.14686840420234
