#GC Content (%)	Sample
1.0	7.722278051432431E-7
2.0	2.5740926838108104E-7
3.0	0.0
4.0	5.148185367621621E-7
5.0	7.722278051432432E-7
6.0	1.1583417077148647E-6
7.0	2.702797318001351E-6
8.0	7.979687319813512E-6
9.0	1.9434399762771616E-5
10.0	4.633366830859458E-5
11.0	9.138029027528377E-5
12.0	1.5238628688159995E-4
13.0	2.785168283883297E-4
14.0	3.964102733068648E-4
15.0	5.87922768982389E-4
16.0	8.41985716874516E-4
17.0	0.0011966956887036458
18.0	0.0016478054315414905
19.0	0.002349503097148317
20.0	0.0031406504835175698
21.0	0.004163337506795605
22.0	0.005582563508014694
23.0	0.007365508805456253
24.0	0.009569060847432496
25.0	0.013776286634487074
26.0	0.0139868474160228
27.0	0.01861326419663597
28.0	0.022070528080262268
29.0	0.026162949333618884
30.0	0.030134645640104776
31.0	0.034904181973937826
32.0	0.03963188930165895
33.0	0.043868459745308966
34.0	0.04738222496334492
35.0	0.04960945865801222
36.0	0.051160864318544996
37.0	0.05213206948814682
38.0	0.051982643407851595
39.0	0.05027524773067989
40.0	0.04748930721899145
41.0	0.044327163061564055
42.0	0.041250221371970805
43.0	0.03800094417719642
44.0	0.03491293388906278
45.0	0.031438037470552384
46.0	0.0280552935701224
47.0	0.024640759625047363
48.0	0.021110005395298264
49.0	0.017898438658341707
50.0	0.015168355957891962
51.0	0.014094444490206092
52.0	0.009866754666315217
53.0	0.009242408485856906
54.0	0.007603869787977135
55.0	0.006174218711388609
56.0	0.00498138416171068
57.0	0.0040500774287079285
58.0	0.0032491484901401952
59.0	0.002466109495724947
60.0	0.0019848828684865157
61.0	0.0016677546498410243
62.0	0.0015201304344244742
63.0	0.0012326042816428065
64.0	8.70043327128054E-4
65.0	6.633436846180458E-4
66.0	5.670726182435215E-4
67.0	4.5033751503270126E-4
68.0	3.5084883280341343E-4
69.0	2.951197261989094E-4
70.0	2.531620154527932E-4
71.0	2.215006754419202E-4
72.0	1.6886048005798916E-4
73.0	1.3385281955816214E-4
74.0	1.1171562247738917E-4
75.0	9.49840200326189E-5
76.0	7.941075929556348E-5
77.0	5.2640195383931064E-5
78.0	3.6552116110113506E-5
79.0	2.664185927744189E-5
80.0	1.8533467323437835E-5
81.0	1.788994415248513E-5
82.0	1.2098235613910808E-5
83.0	1.0296370735243243E-5
84.0	3.0889112205729723E-6
85.0	5.148185367621621E-7
86.0	3.861139025716216E-7
87.0	2.5740926838108104E-7
88.0	1.2870463419054052E-7
89.0	1.2870463419054052E-7
90.0	1.2870463419054052E-7
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
