#GC Content (%)	Sample
1.0	1.287668654011545E-6
2.0	1.287668654011545E-7
3.0	0.0
4.0	1.287668654011545E-7
5.0	2.57533730802309E-7
6.0	7.72601192406927E-7
7.0	3.0904047696277072E-6
8.0	1.0816416693696979E-5
9.0	2.317803577220781E-5
10.0	4.609853781361331E-5
11.0	9.927925322429011E-5
12.0	1.7512293694557014E-4
13.0	2.8238573582473184E-4
14.0	4.402539128065473E-4
15.0	6.265795670420177E-4
16.0	9.179789834448303E-4
17.0	0.0012735042988174178
18.0	0.0017699005649388687
19.0	0.002448501945602953
20.0	0.003362102855624144
21.0	0.0044219829247410455
22.0	0.005856574572175309
23.0	0.007678110650140041
24.0	0.010023856637152873
25.0	0.01426891388883273
26.0	0.01436883697638403
27.0	0.019217295759333695
28.0	0.022730055847477195
29.0	0.026640705549710254
30.0	0.030787513683089032
31.0	0.0353452168839629
32.0	0.04004134446514299
33.0	0.04421532240712143
34.0	0.047882345200015504
35.0	0.049872823405386554
36.0	0.05136832178015555
37.0	0.05199618901585159
38.0	0.051854674230775714
39.0	0.05015701187732689
40.0	0.047504028149466915
41.0	0.04414025132459255
42.0	0.04094361389100889
43.0	0.03759335758700165
44.0	0.03447230630340847
45.0	0.030953494172591127
46.0	0.027588558445928155
47.0	0.024165420096103864
48.0	0.02064441892857469
49.0	0.01743632124397033
50.0	0.01485209902223456
51.0	0.01369538627033599
52.0	0.009535186382955491
53.0	0.008938738262417341
54.0	0.007298119630341232
55.0	0.005865330719022587
56.0	0.0047686233264009545
57.0	0.00386017309099581
58.0	0.003093366407531934
59.0	0.002367765120996429
60.0	0.0019114153500147373
61.0	0.0016264542768819825
62.0	0.0013597780986361917
63.0	0.0010634855413481352
64.0	8.277134107986211E-4
65.0	6.256781989842096E-4
66.0	5.043798117763222E-4
67.0	4.1411423913011283E-4
68.0	3.521773768721575E-4
69.0	2.876651773061791E-4
70.0	2.3757486666513001E-4
71.0	1.861968873700694E-4
72.0	1.5619420773160038E-4
73.0	1.2722166301634062E-4
74.0	9.786281770487741E-5
75.0	8.292586131834348E-5
76.0	6.631493568159457E-5
77.0	4.365196737099138E-5
78.0	3.0260213369271312E-5
79.0	2.0988999060388183E-5
80.0	1.5967091309743158E-5
81.0	1.4164355194126995E-5
82.0	1.1073950424499289E-5
83.0	8.498613116476196E-6
84.0	2.57533730802309E-6
85.0	3.863005962034635E-7
86.0	0.0
87.0	1.287668654011545E-7
88.0	1.287668654011545E-7
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
