#Duplication rate	Coverage
1.0	4.6857238E7
2.0	1440224.0
3.0	163727.0
4.0	67669.0
5.0	38892.0
6.0	24783.0
7.0	17061.0
8.0	12019.0
9.0	8974.0
10.0	6911.0
11.0	5353.0
12.0	4314.0
13.0	3454.0
14.0	2791.0
15.0	2380.0
16.0	1904.0
17.0	1617.0
18.0	1377.0
19.0	1197.0
20.0	988.0
21.0	840.0
22.0	678.0
23.0	650.0
24.0	470.0
25.0	446.0
26.0	394.0
27.0	348.0
28.0	271.0
29.0	230.0
30.0	212.0
31.0	211.0
32.0	154.0
33.0	143.0
34.0	134.0
35.0	135.0
36.0	95.0
37.0	102.0
38.0	110.0
39.0	83.0
40.0	66.0
41.0	71.0
42.0	58.0
43.0	43.0
44.0	62.0
45.0	62.0
46.0	36.0
47.0	31.0
48.0	38.0
49.0	40.0
50.0	362.0
