#Coverage (X)	Coverage
1.0	80.74826989056366
2.0	74.32258944030758
3.0	66.23470835663011
4.0	56.20966764714607
5.0	44.98279380129037
6.0	33.85006078883893
7.0	24.025556833515765
8.0	16.221952208322165
9.0	10.57256227954214
10.0	6.789277801224273
11.0	4.40932557663794
12.0	2.976750790112007
13.0	2.1300578266720294
14.0	1.6276243622563413
15.0	1.3174293897756115
16.0	1.1143146878605137
17.0	0.9720646818798997
18.0	0.8649460215398079
19.0	0.7802680592250226
20.0	0.7106350792832927
21.0	0.6516455899136986
22.0	0.6010254284920507
23.0	0.556984143552441
24.0	0.5182945717306069
25.0	0.4842736726361778
26.0	0.45378171636021136
27.0	0.42632130236748367
28.0	0.4016176908146889
29.0	0.379427448868384
30.0	0.35943863729139025
31.0	0.3410979076601137
32.0	0.3243257425502293
33.0	0.3089700708396208
34.0	0.294983158266092
35.0	0.2821918639708372
36.0	0.2703801933933363
37.0	0.2593911353319669
38.0	0.24919677536158247
39.0	0.2397839002574642
40.0	0.23108227756401334
41.0	0.2228810908763279
42.0	0.21526158367059622
43.0	0.20812185936715366
44.0	0.20150245042556492
45.0	0.19517563703634266
46.0	0.1892155799110924
47.0	0.18363805159282265
48.0	0.17835782083029983
49.0	0.17335923411859255
50.0	0.16867711009037123
51.0	0.1641906251143439
