#Insert size (bp)	insert size
122.0	1.0
125.0	2.0
126.0	2.0
127.0	2.0
128.0	17.0
129.0	12.0
130.0	19.0
131.0	15.0
132.0	26.0
133.0	36.0
134.0	43.0
135.0	50.0
136.0	53.0
137.0	81.0
138.0	104.0
139.0	122.0
140.0	159.0
141.0	179.0
142.0	231.0
143.0	251.0
144.0	295.0
145.0	402.0
146.0	461.0
147.0	624.0
148.0	771.0
149.0	1243.0
150.0	8718.0
151.0	12377.0
152.0	13164.0
153.0	13540.0
154.0	12812.0
155.0	11371.0
156.0	10292.0
157.0	10568.0
158.0	10220.0
159.0	10385.0
160.0	10554.0
161.0	10819.0
162.0	11318.0
163.0	11129.0
164.0	11316.0
165.0	11320.0
166.0	11404.0
167.0	11770.0
168.0	11940.0
169.0	11878.0
170.0	12265.0
171.0	12355.0
172.0	12769.0
173.0	12738.0
174.0	13235.0
175.0	13264.0
176.0	13463.0
177.0	13718.0
178.0	14069.0
179.0	13961.0
180.0	14118.0
181.0	14438.0
182.0	14646.0
183.0	15047.0
184.0	15405.0
185.0	15533.0
186.0	15785.0
187.0	16183.0
188.0	16127.0
189.0	16583.0
190.0	16644.0
191.0	16924.0
192.0	17105.0
193.0	17910.0
194.0	18406.0
195.0	18238.0
196.0	18880.0
197.0	18857.0
198.0	19633.0
199.0	19526.0
200.0	19591.0
201.0	20131.0
202.0	20345.0
203.0	21143.0
204.0	21566.0
205.0	21789.0
206.0	22235.0
207.0	22899.0
208.0	22955.0
209.0	23333.0
210.0	23470.0
211.0	24152.0
212.0	24234.0
213.0	25094.0
214.0	25546.0
215.0	26148.0
216.0	26810.0
217.0	27115.0
218.0	27743.0
219.0	28281.0
220.0	28204.0
221.0	28931.0
222.0	29279.0
223.0	29859.0
224.0	30752.0
225.0	31904.0
226.0	32112.0
227.0	33402.0
228.0	33278.0
229.0	34022.0
230.0	34537.0
231.0	34979.0
232.0	35706.0
233.0	36314.0
234.0	36921.0
235.0	37901.0
236.0	39005.0
237.0	39405.0
238.0	40393.0
239.0	40867.0
240.0	41578.0
241.0	42311.0
242.0	42957.0
243.0	43848.0
244.0	44941.0
245.0	45659.0
246.0	46863.0
247.0	47713.0
248.0	48597.0
249.0	49506.0
250.0	50291.0
251.0	50946.0
252.0	51712.0
253.0	52544.0
254.0	53585.0
255.0	54515.0
256.0	56009.0
257.0	57023.0
258.0	58063.0
259.0	59260.0
260.0	60051.0
261.0	61035.0
262.0	62287.0
263.0	62408.0
264.0	63605.0
265.0	64672.0
266.0	66528.0
267.0	67326.0
268.0	68548.0
269.0	69593.0
270.0	71092.0
271.0	71633.0
272.0	73039.0
273.0	74043.0
274.0	75084.0
275.0	76154.0
276.0	77917.0
277.0	79022.0
278.0	80741.0
279.0	82023.0
280.0	83330.0
281.0	84053.0
282.0	85657.0
283.0	85998.0
284.0	87605.0
285.0	88915.0
286.0	89817.0
287.0	91231.0
288.0	93343.0
289.0	94229.0
290.0	95319.0
291.0	97215.0
292.0	98183.0
293.0	98650.0
294.0	100206.0
295.0	101519.0
296.0	102849.0
297.0	104238.0
298.0	106229.0
299.0	107075.0
300.0	108284.0
301.0	109267.0
302.0	111112.0
303.0	111895.0
304.0	112385.0
305.0	113752.0
306.0	115596.0
307.0	116267.0
308.0	117981.0
309.0	119379.0
310.0	120816.0
311.0	121833.0
312.0	122867.0
313.0	123698.0
314.0	124822.0
315.0	125769.0
316.0	127249.0
317.0	127281.0
318.0	128944.0
319.0	129830.0
320.0	130864.0
321.0	132103.0
322.0	132980.0
323.0	133224.0
324.0	134333.0
325.0	134843.0
326.0	135100.0
327.0	135872.0
328.0	137717.0
329.0	138340.0
330.0	138073.0
331.0	139961.0
332.0	140232.0
333.0	140790.0
334.0	139950.0
335.0	141290.0
336.0	141113.0
337.0	141594.0
338.0	141512.0
339.0	142951.0
340.0	143226.0
341.0	143301.0
342.0	144419.0
343.0	143631.0
344.0	143512.0
345.0	143284.0
346.0	142783.0
347.0	143877.0
348.0	143487.0
349.0	143336.0
350.0	143193.0
351.0	143684.0
352.0	143158.0
353.0	142222.0
354.0	142843.0
355.0	142252.0
356.0	140468.0
357.0	140539.0
358.0	140204.0
359.0	140997.0
360.0	140111.0
361.0	139757.0
362.0	137940.0
363.0	137966.0
364.0	137372.0
365.0	137081.0
366.0	135427.0
367.0	134787.0
368.0	134383.0
369.0	133493.0
370.0	133346.0
371.0	132480.0
372.0	131237.0
373.0	131316.0
374.0	129050.0
375.0	128200.0
376.0	127894.0
377.0	125975.0
378.0	124782.0
379.0	123857.0
380.0	123312.0
381.0	121727.0
382.0	121941.0
383.0	119869.0
384.0	118987.0
385.0	117645.0
386.0	116638.0
387.0	115655.0
388.0	114230.0
389.0	112536.0
390.0	111222.0
391.0	110355.0
392.0	109906.0
393.0	108526.0
394.0	107072.0
395.0	106278.0
396.0	104700.0
397.0	103502.0
398.0	101878.0
399.0	100859.0
400.0	99042.0
401.0	98034.0
402.0	96747.0
403.0	95872.0
404.0	94392.0
405.0	93292.0
406.0	92058.0
407.0	90860.0
408.0	89763.0
409.0	87722.0
410.0	86310.0
411.0	85584.0
412.0	84006.0
413.0	82417.0
414.0	81297.0
415.0	79542.0
416.0	79010.0
417.0	77371.0
418.0	76157.0
419.0	74750.0
420.0	73715.0
421.0	72822.0
422.0	71413.0
423.0	69993.0
424.0	68815.0
425.0	67703.0
426.0	66625.0
427.0	65335.0
428.0	64254.0
429.0	62872.0
430.0	62160.0
431.0	60952.0
432.0	60028.0
433.0	58933.0
434.0	58025.0
435.0	56322.0
436.0	55712.0
437.0	54917.0
438.0	53822.0
439.0	52049.0
440.0	51760.0
441.0	50599.0
442.0	49807.0
443.0	48916.0
444.0	48259.0
445.0	47552.0
446.0	46339.0
447.0	45114.0
448.0	44313.0
449.0	43289.0
450.0	42180.0
451.0	41548.0
452.0	40686.0
453.0	40020.0
454.0	39251.0
455.0	38342.0
456.0	37369.0
457.0	36544.0
458.0	35859.0
459.0	34707.0
460.0	34012.0
461.0	33718.0
462.0	33253.0
463.0	32258.0
464.0	31518.0
465.0	31184.0
466.0	30104.0
467.0	29206.0
468.0	28905.0
469.0	28313.0
470.0	27475.0
471.0	26938.0
472.0	26263.0
473.0	25793.0
474.0	25130.0
475.0	24690.0
476.0	24163.0
477.0	23861.0
478.0	22830.0
479.0	22331.0
480.0	21931.0
481.0	21138.0
482.0	21214.0
483.0	20440.0
484.0	20032.0
485.0	19662.0
486.0	19488.0
487.0	18863.0
488.0	18261.0
489.0	17867.0
490.0	17692.0
491.0	17139.0
492.0	16858.0
493.0	16664.0
494.0	16502.0
495.0	16243.0
496.0	16060.0
497.0	15567.0
498.0	15709.0
499.0	15541.0
500.0	15496.0
501.0	5700.0
502.0	5497.0
503.0	5474.0
504.0	5383.0
505.0	5201.0
506.0	5077.0
507.0	4845.0
508.0	4798.0
509.0	4533.0
510.0	4487.0
511.0	4379.0
512.0	4256.0
513.0	4070.0
514.0	3897.0
515.0	3899.0
516.0	3743.0
517.0	3580.0
518.0	3571.0
519.0	3484.0
520.0	3432.0
