#Coverage (X)	Coverage
1.0	80.6422163827877
2.0	74.21344183574763
3.0	66.15315032235837
4.0	56.17176997602079
5.0	45.00563750266903
6.0	33.921245251340395
7.0	24.12041862093261
8.0	16.319837145839003
9.0	10.65147975203989
10.0	6.8393391384715585
11.0	4.432073095263831
12.0	2.979421647072357
13.0	2.119318331904225
14.0	1.6085608930415844
15.0	1.2946996673397564
16.0	1.090811575146489
17.0	0.948265819104904
18.0	0.8414408851787556
19.0	0.7570463524856876
20.0	0.6882565191255026
21.0	0.6304352097612735
22.0	0.5809406127193881
23.0	0.5384324189591894
24.0	0.5009007303504944
25.0	0.46780386419962383
26.0	0.43834307512155135
27.0	0.4120171533631094
28.0	0.3884056564951095
29.0	0.3671546248450568
30.0	0.34789319533589946
31.0	0.3304845932362923
32.0	0.31464211537783626
33.0	0.3000578698174081
34.0	0.2866315074701191
35.0	0.27441588123477345
36.0	0.26321380456438703
37.0	0.2528823127484543
38.0	0.24308101645337388
39.0	0.23409048838742308
40.0	0.2257069353912584
41.0	0.2178375672968258
42.0	0.21056963900238657
43.0	0.20371268961133637
44.0	0.1972946930678745
45.0	0.19131076881151898
46.0	0.1856427120483346
47.0	0.1802468953292049
48.0	0.1750959994192698
49.0	0.17029525396388578
50.0	0.16576049905438595
51.0	0.16143114431804406
