#Insert size (bp)	insert size
124.0	2.0
125.0	5.0
126.0	10.0
127.0	4.0
128.0	8.0
129.0	7.0
130.0	11.0
131.0	24.0
132.0	23.0
133.0	38.0
134.0	48.0
135.0	55.0
136.0	64.0
137.0	90.0
138.0	98.0
139.0	118.0
140.0	159.0
141.0	194.0
142.0	245.0
143.0	269.0
144.0	396.0
145.0	420.0
146.0	501.0
147.0	626.0
148.0	885.0
149.0	1259.0
150.0	8770.0
151.0	12669.0
152.0	13224.0
153.0	13897.0
154.0	13320.0
155.0	11902.0
156.0	10843.0
157.0	10756.0
158.0	10577.0
159.0	10770.0
160.0	11058.0
161.0	11281.0
162.0	11629.0
163.0	11773.0
164.0	12079.0
165.0	12224.0
166.0	12134.0
167.0	12564.0
168.0	12570.0
169.0	12876.0
170.0	13154.0
171.0	13567.0
172.0	13700.0
173.0	14212.0
174.0	14549.0
175.0	14885.0
176.0	14855.0
177.0	15351.0
178.0	15474.0
179.0	15307.0
180.0	15855.0
181.0	16266.0
182.0	16672.0
183.0	17144.0
184.0	17687.0
185.0	17570.0
186.0	17952.0
187.0	18158.0
188.0	18450.0
189.0	18827.0
190.0	19182.0
191.0	19338.0
192.0	19982.0
193.0	20562.0
194.0	20889.0
195.0	21204.0
196.0	21748.0
197.0	22094.0
198.0	22196.0
199.0	22548.0
200.0	22507.0
201.0	23234.0
202.0	23697.0
203.0	24184.0
204.0	25044.0
205.0	25503.0
206.0	25702.0
207.0	26025.0
208.0	26369.0
209.0	26385.0
210.0	27108.0
211.0	27780.0
212.0	28648.0
213.0	29297.0
214.0	29576.0
215.0	30531.0
216.0	31132.0
217.0	31873.0
218.0	32114.0
219.0	32552.0
220.0	32976.0
221.0	33617.0
222.0	34647.0
223.0	35059.0
224.0	36545.0
225.0	36984.0
226.0	37878.0
227.0	38811.0
228.0	39277.0
229.0	39751.0
230.0	40267.0
231.0	40949.0
232.0	41238.0
233.0	42715.0
234.0	43156.0
235.0	44514.0
236.0	45057.0
237.0	45893.0
238.0	46424.0
239.0	46682.0
240.0	48021.0
241.0	48390.0
242.0	48775.0
243.0	49860.0
244.0	51023.0
245.0	51885.0
246.0	52329.0
247.0	53587.0
248.0	54201.0
249.0	54969.0
250.0	55703.0
251.0	56021.0
252.0	57069.0
253.0	58115.0
254.0	58744.0
255.0	60407.0
256.0	61375.0
257.0	62255.0
258.0	63295.0
259.0	64371.0
260.0	65242.0
261.0	66052.0
262.0	66666.0
263.0	67080.0
264.0	68878.0
265.0	69947.0
266.0	71335.0
267.0	72598.0
268.0	73827.0
269.0	75119.0
270.0	75827.0
271.0	76924.0
272.0	78326.0
273.0	79401.0
274.0	80293.0
275.0	81399.0
276.0	83073.0
277.0	84323.0
278.0	85976.0
279.0	87248.0
280.0	88549.0
281.0	89549.0
282.0	90482.0
283.0	91765.0
284.0	92950.0
285.0	94454.0
286.0	95276.0
287.0	96799.0
288.0	98679.0
289.0	100638.0
290.0	101360.0
291.0	102727.0
292.0	103977.0
293.0	104593.0
294.0	106216.0
295.0	107349.0
296.0	108395.0
297.0	110040.0
298.0	111490.0
299.0	113134.0
300.0	114766.0
301.0	115622.0
302.0	116877.0
303.0	118153.0
304.0	118829.0
305.0	119065.0
306.0	121070.0
307.0	122360.0
308.0	123523.0
309.0	124515.0
310.0	127109.0
311.0	127427.0
312.0	128267.0
313.0	129490.0
314.0	129918.0
315.0	130126.0
316.0	131905.0
317.0	132879.0
318.0	133595.0
319.0	134375.0
320.0	136537.0
321.0	137210.0
322.0	137560.0
323.0	137979.0
324.0	138435.0
325.0	138693.0
326.0	139398.0
327.0	139796.0
328.0	140556.0
329.0	141041.0
330.0	141170.0
331.0	142700.0
332.0	142133.0
333.0	142946.0
334.0	143221.0
335.0	143213.0
336.0	143603.0
337.0	143973.0
338.0	143869.0
339.0	143934.0
340.0	143791.0
341.0	144590.0
342.0	144351.0
343.0	144360.0
344.0	143533.0
345.0	144298.0
346.0	143444.0
347.0	143030.0
348.0	143297.0
349.0	142474.0
350.0	142378.0
351.0	142512.0
352.0	142301.0
353.0	141490.0
354.0	141009.0
355.0	140229.0
356.0	140225.0
357.0	139636.0
358.0	137701.0
359.0	137676.0
360.0	136891.0
361.0	137262.0
362.0	136351.0
363.0	135582.0
364.0	134551.0
365.0	134448.0
366.0	132827.0
367.0	131902.0
368.0	130333.0
369.0	129615.0
370.0	128561.0
371.0	128492.0
372.0	127770.0
373.0	126714.0
374.0	125639.0
375.0	123915.0
376.0	122813.0
377.0	121437.0
378.0	120278.0
379.0	119411.0
380.0	117732.0
381.0	116958.0
382.0	116621.0
383.0	115261.0
384.0	113453.0
385.0	112774.0
386.0	110761.0
387.0	109741.0
388.0	108160.0
389.0	107459.0
390.0	106031.0
391.0	104458.0
392.0	104264.0
393.0	102528.0
394.0	101351.0
395.0	100720.0
396.0	98166.0
397.0	96770.0
398.0	95645.0
399.0	94998.0
400.0	93371.0
401.0	91894.0
402.0	90447.0
403.0	89653.0
404.0	88155.0
405.0	87067.0
406.0	85911.0
407.0	84504.0
408.0	83165.0
409.0	81857.0
410.0	79844.0
411.0	78493.0
412.0	77419.0
413.0	75896.0
414.0	74952.0
415.0	74041.0
416.0	72269.0
417.0	71352.0
418.0	70006.0
419.0	68505.0
420.0	67159.0
421.0	66291.0
422.0	65292.0
423.0	64509.0
424.0	63017.0
425.0	61424.0
426.0	60609.0
427.0	59663.0
428.0	58297.0
429.0	57543.0
430.0	56023.0
431.0	55097.0
432.0	53681.0
433.0	53038.0
434.0	52045.0
435.0	51066.0
436.0	49900.0
437.0	48831.0
438.0	47701.0
439.0	46953.0
440.0	45900.0
441.0	45297.0
442.0	44118.0
443.0	43225.0
444.0	42055.0
445.0	41595.0
446.0	40816.0
447.0	40214.0
448.0	38713.0
449.0	38407.0
450.0	37338.0
451.0	36292.0
452.0	35511.0
453.0	35200.0
454.0	34270.0
455.0	33880.0
456.0	32612.0
457.0	32110.0
458.0	31459.0
459.0	30586.0
460.0	29929.0
461.0	29035.0
462.0	28520.0
463.0	27933.0
464.0	27249.0
465.0	26843.0
466.0	26004.0
467.0	25514.0
468.0	25046.0
469.0	24190.0
470.0	23706.0
471.0	23161.0
472.0	22803.0
473.0	21909.0
474.0	21730.0
475.0	21452.0
476.0	20729.0
477.0	20165.0
478.0	19682.0
479.0	19568.0
480.0	18835.0
481.0	18334.0
482.0	17943.0
483.0	17479.0
484.0	17191.0
485.0	16833.0
486.0	16720.0
487.0	15920.0
488.0	15446.0
489.0	15367.0
490.0	14974.0
491.0	14599.0
492.0	14467.0
493.0	14285.0
494.0	14177.0
495.0	13681.0
496.0	13412.0
497.0	13117.0
498.0	13084.0
499.0	13004.0
500.0	13296.0
501.0	4643.0
502.0	4584.0
503.0	4556.0
504.0	4391.0
505.0	4208.0
506.0	4168.0
507.0	4052.0
508.0	3985.0
509.0	3780.0
510.0	3758.0
511.0	3660.0
512.0	3569.0
513.0	3429.0
514.0	3379.0
515.0	3233.0
516.0	3105.0
517.0	3131.0
518.0	2951.0
