#Mapping quality	mapping quality
0.0	1.580418E7
1.0	1.522819E7
2.0	1.6529548E7
3.0	1.6484152E7
4.0	1.6818546E7
5.0	1.3422664E7
6.0	4.0015381E7
7.0	1.4578036E7
8.0	1.7331874E7
9.0	1.2076703E7
10.0	1.0672399E7
11.0	1.292433E7
12.0	1.2904623E7
13.0	1.1749377E7
14.0	1.1057308E7
15.0	1.2778181E7
16.0	1.2354174E7
17.0	1.1670754E7
18.0	1.3221969E7
19.0	1.124379E7
20.0	1.1483709E7
21.0	1.5380964E7
22.0	1.5816557E7
23.0	2.8061304E7
24.0	2.4408971E7
25.0	1.5463165E7
26.0	1.6716627E7
27.0	1.8349999E7
28.0	2.0720823E7
29.0	2.2368257E7
30.0	2.4032964E7
31.0	2.3797635E7
32.0	3.298054E7
33.0	3.0639559E7
34.0	3.0455989E7
35.0	3.5702058E7
36.0	3.8323953E7
37.0	4.1257113E7
38.0	4.4951694E7
39.0	3.801782E7
40.0	4.2203377E7
41.0	1.28981664E8
42.0	3.55917103E8
