#Duplication rate	Coverage
1.0	4.6782439E7
2.0	1454768.0
3.0	164441.0
4.0	69040.0
5.0	39230.0
6.0	25363.0
7.0	17144.0
8.0	12389.0
9.0	9402.0
10.0	7168.0
11.0	5579.0
12.0	4446.0
13.0	3658.0
14.0	2965.0
15.0	2458.0
16.0	1981.0
17.0	1753.0
18.0	1356.0
19.0	1169.0
20.0	965.0
21.0	818.0
22.0	680.0
23.0	586.0
24.0	498.0
25.0	416.0
26.0	361.0
27.0	296.0
28.0	265.0
29.0	231.0
30.0	187.0
31.0	164.0
32.0	133.0
33.0	126.0
34.0	114.0
35.0	119.0
36.0	92.0
37.0	77.0
38.0	74.0
39.0	78.0
40.0	66.0
41.0	65.0
42.0	45.0
43.0	58.0
44.0	48.0
45.0	45.0
46.0	40.0
47.0	40.0
48.0	41.0
49.0	51.0
50.0	484.0
