#Position (bp)	Coverage	Std
2100169.5	4.604449451448907	4.057636980252767
6300507.5	4.905489510606051	4.668757163947125
1.05008455E7	4.491026436443924	5.702548502077957
1.47011835E7	3.952256461265736	4.284793307918583
1.89015215E7	5.373879435416864	5.061822200343331
2.31018595E7	4.873199252060191	4.295208412827611
2.73021975E7	4.057589174966395	4.419901178384287
3.15025355E7	4.84977542283502	5.9956614788703195
3.57028735E7	3.1887926638284823	5.208884105520263
3.8653933E7	3.3103131366491927	4.874267193545126
4.0754102E7	3.869587525919961	7.294478656941534
4.41035495E7	4.89712066028972	4.76331464877893
4.83038875E7	4.992178010436303	5.9116535172812075
5.25042255E7	5.296928485279042	3.8007159238115498
5.67045635E7	4.886096071316166	5.525789372403694
6.09049015E7	5.191781232843643	3.739676011249594
6.51052395E7	4.6543816235741025	4.371848382829911
6.75716935E7	3.3030850294169842	3.650120641954236
6.96718625E7	5.171929321684726	19.968696947140163
7.35059155E7	4.131749397310407	5.6638228789083955
7.77062535E7	3.386960763633784	4.699923297846671
8.19065915E7	4.70390406676796	6.000717478723696
8.61069295E7	5.536347313001953	8.061930493485605
9.03072675E7	5.242580001895085	4.093297680383133
9.45076055E7	5.418937237907997	6.548285663416149
9.87079435E7	5.4133198328325	5.831686273019927
1.029082815E8	4.9682094631432046	13.955103702138649
1.061478055E8	4.91224245296681	15.970112345532293
1.082479745E8	3.7340276057592834	4.176249186793055
1.113089575E8	4.416663611356991	4.005124132654214
1.155092955E8	5.042158273929384	3.0336074102663084
1.197096335E8	4.342459344938431	3.7107858801528453
1.239099715E8	4.374690798692867	4.231815888688811
1.281103095E8	3.120926934927618	4.66284636548155
1.323106475E8	4.15744423424972	18.458436977264252
1.365109855E8	2.453184005668115	4.577457519668107
1.407113235E8	3.1853786528607935	10.249253643515845
1.431893125E8	4.295672542480546	8.681917156459125
1.452894815E8	3.114328745219465	4.856733465172731
1.491119995E8	4.038276681543247	3.704564088399903
1.533123375E8	4.270907722188071	3.56150579104966
1.575126755E8	4.331904003915875	3.57074906826848
1.617130135E8	4.980331582839286	4.77686940104104
1.659133515E8	4.958277167218448	4.318401952407725
1.701136895E8	4.724021971565145	4.029676740444521
1.743140275E8	4.772426409493712	4.617899779031466
1.785143655E8	5.110087092991088	5.906698326178804
1.82081576E8	4.276302681280659	6.627158667586427
1.84181745E8	2.532469368334182	4.262059452807576
1.869150415E8	4.195497600431203	3.7068941408546303
1.911153795E8	4.954976956616348	4.832390664004895
1.953157175E8	5.6538338105171535	6.242133012499728
1.995160555E8	4.442901261755601	8.478321387465638
2.037163935E8	5.069031111305804	5.640162162835108
2.079167315E8	5.492699397048523	5.014596470303495
2.121170695E8	5.100939495821526	5.262596908166392
2.159577405E8	4.657273591182314	6.393247535429865
2.180579095E8	2.0659040167710687	3.595888596766729
2.205177455E8	3.3442292025070364	6.183886024505814
2.247180835E8	4.124940659537399	3.948846770589625
2.289184215E8	5.031940048634182	3.73411202760281
2.331187595E8	5.243489690591566	5.986599167606752
2.373190975E8	5.378198849711619	4.153453585995476
2.415194355E8	5.471377541521658	5.288457667159947
2.457197735E8	5.227999032458817	4.283015033227792
2.499201115E8	5.755829649899603	25.089270845888564
2.541204495E8	5.170151783023176	6.051900677048058
2.583207875E8	4.197857648598756	3.899136360316815
2.625211255E8	4.323237082349087	25.4980879416609
2.64771353E8	4.6286548246183985	3.713639472349966
2.66871522E8	3.4568959041038956	4.1486904708437
2.709218015E8	5.1317208281809705	3.529684154541916
2.751221395E8	5.356729148939919	4.587964672096327
2.793224775E8	5.0105701017394315	4.330893047065637
2.835228155E8	4.729301546685052	4.251366417558658
2.877231535E8	4.557619172552304	6.459318659602784
2.911785265E8	3.8725372711414665	4.467506832722385
2.932786955E8	4.180195042720128	5.224474005122822
2.961238295E8	5.325299297342261	14.6889557174285
3.003241675E8	4.3904738142501865	4.151602711113534
3.045245055E8	5.179429369731674	5.0037990841773015
3.087248435E8	4.869132198408795	4.6143191295691315
3.129251815E8	5.290436388690624	3.6641270990100625
3.171255195E8	4.994736614053441	6.817198414276061
3.213258575E8	4.260093830544113	12.236985239846971
