#Mapping quality	mapping quality
0.0	1.5834183E7
1.0	1.5374306E7
2.0	1.6619433E7
3.0	1.6462719E7
4.0	1.6867777E7
5.0	1.3503621E7
6.0	3.9738175E7
7.0	1.4516549E7
8.0	1.7258426E7
9.0	1.196083E7
10.0	1.0603454E7
11.0	1.2833414E7
12.0	1.2880555E7
13.0	1.1690127E7
14.0	1.0995836E7
15.0	1.2717113E7
16.0	1.2336657E7
17.0	1.1555482E7
18.0	1.317514E7
19.0	1.1215314E7
20.0	1.1463677E7
21.0	1.5405773E7
22.0	1.5725529E7
23.0	2.8048075E7
24.0	2.4494368E7
25.0	1.5442863E7
26.0	1.6677674E7
27.0	1.8386267E7
28.0	2.068988E7
29.0	2.2411054E7
30.0	2.4122266E7
31.0	2.3778452E7
32.0	3.3072132E7
33.0	3.0681812E7
34.0	3.0449088E7
35.0	3.583E7
36.0	3.8442895E7
37.0	4.1400635E7
38.0	4.4956712E7
39.0	3.7993022E7
40.0	4.2112364E7
41.0	1.28716525E8
42.0	3.55397297E8
