#Insert size (bp)	insert size
125.0	2.0
126.0	1.0
127.0	2.0
128.0	11.0
129.0	15.0
130.0	14.0
131.0	15.0
132.0	23.0
133.0	38.0
134.0	34.0
135.0	48.0
136.0	74.0
137.0	76.0
138.0	103.0
139.0	142.0
140.0	145.0
141.0	181.0
142.0	254.0
143.0	247.0
144.0	356.0
145.0	429.0
146.0	497.0
147.0	653.0
148.0	890.0
149.0	1271.0
150.0	9399.0
151.0	13803.0
152.0	14337.0
153.0	14694.0
154.0	14216.0
155.0	12614.0
156.0	11429.0
157.0	11267.0
158.0	11119.0
159.0	11187.0
160.0	11439.0
161.0	11839.0
162.0	11951.0
163.0	12074.0
164.0	12470.0
165.0	12507.0
166.0	12483.0
167.0	12905.0
168.0	13191.0
169.0	13053.0
170.0	13555.0
171.0	13701.0
172.0	13977.0
173.0	14047.0
174.0	14243.0
175.0	14690.0
176.0	14892.0
177.0	15036.0
178.0	15268.0
179.0	15448.0
180.0	15741.0
181.0	15775.0
182.0	16461.0
183.0	16716.0
184.0	17287.0
185.0	17540.0
186.0	17810.0
187.0	17906.0
188.0	18357.0
189.0	18181.0
190.0	18695.0
191.0	18851.0
192.0	19118.0
193.0	19899.0
194.0	20151.0
195.0	20562.0
196.0	20939.0
197.0	21330.0
198.0	21229.0
199.0	21533.0
200.0	22170.0
201.0	22510.0
202.0	23215.0
203.0	23368.0
204.0	23930.0
205.0	24548.0
206.0	24981.0
207.0	25347.0
208.0	25641.0
209.0	26065.0
210.0	26390.0
211.0	26861.0
212.0	27276.0
213.0	28092.0
214.0	28548.0
215.0	29406.0
216.0	30183.0
217.0	30495.0
218.0	31060.0
219.0	31653.0
220.0	32044.0
221.0	32207.0
222.0	32755.0
223.0	34055.0
224.0	34865.0
225.0	35423.0
226.0	36543.0
227.0	37087.0
228.0	37260.0
229.0	38266.0
230.0	38438.0
231.0	38821.0
232.0	39956.0
233.0	40223.0
234.0	41360.0
235.0	42478.0
236.0	43952.0
237.0	44309.0
238.0	45260.0
239.0	45765.0
240.0	46274.0
241.0	47322.0
242.0	48298.0
243.0	49259.0
244.0	49907.0
245.0	51479.0
246.0	52683.0
247.0	53167.0
248.0	54383.0
249.0	54730.0
250.0	55774.0
251.0	56651.0
252.0	57292.0
253.0	58595.0
254.0	59090.0
255.0	60758.0
256.0	61550.0
257.0	63119.0
258.0	64204.0
259.0	64632.0
260.0	66293.0
261.0	67136.0
262.0	68104.0
263.0	68601.0
264.0	70013.0
265.0	71192.0
266.0	72417.0
267.0	74208.0
268.0	75539.0
269.0	76715.0
270.0	77496.0
271.0	78480.0
272.0	79833.0
273.0	80613.0
274.0	81865.0
275.0	83138.0
276.0	84098.0
277.0	86098.0
278.0	87250.0
279.0	88788.0
280.0	90363.0
281.0	91550.0
282.0	92265.0
283.0	93465.0
284.0	94251.0
285.0	95751.0
286.0	96609.0
287.0	99246.0
288.0	99964.0
289.0	100963.0
290.0	103117.0
291.0	104110.0
292.0	104369.0
293.0	105456.0
294.0	106658.0
295.0	107891.0
296.0	109710.0
297.0	110545.0
298.0	111871.0
299.0	113615.0
300.0	115197.0
301.0	115900.0
302.0	117051.0
303.0	117535.0
304.0	118290.0
305.0	119865.0
306.0	120138.0
307.0	122102.0
308.0	123763.0
309.0	124764.0
310.0	126271.0
311.0	126985.0
312.0	128052.0
313.0	128478.0
314.0	128700.0
315.0	129336.0
316.0	130989.0
317.0	131971.0
318.0	132686.0
319.0	133032.0
320.0	134839.0
321.0	135021.0
322.0	136481.0
323.0	136464.0
324.0	136771.0
325.0	136936.0
326.0	137301.0
327.0	137754.0
328.0	138631.0
329.0	140043.0
330.0	140435.0
331.0	140694.0
332.0	140971.0
333.0	141120.0
334.0	141764.0
335.0	141183.0
336.0	141045.0
337.0	140662.0
338.0	141411.0
339.0	142177.0
340.0	142245.0
341.0	142217.0
342.0	141678.0
343.0	141638.0
344.0	141756.0
345.0	141288.0
346.0	141270.0
347.0	140997.0
348.0	140509.0
349.0	140356.0
350.0	139759.0
351.0	139787.0
352.0	139523.0
353.0	138678.0
354.0	138267.0
355.0	136982.0
356.0	137347.0
357.0	135916.0
358.0	135581.0
359.0	135244.0
360.0	134925.0
361.0	134336.0
362.0	133268.0
363.0	133108.0
364.0	131983.0
365.0	130864.0
366.0	129538.0
367.0	128067.0
368.0	128122.0
369.0	126811.0
370.0	126091.0
371.0	125335.0
372.0	124394.0
373.0	123229.0
374.0	122883.0
375.0	121966.0
376.0	120098.0
377.0	118516.0
378.0	118466.0
379.0	116750.0
380.0	115868.0
381.0	115162.0
382.0	114293.0
383.0	113238.0
384.0	111676.0
385.0	110570.0
386.0	109158.0
387.0	108010.0
388.0	106605.0
389.0	105464.0
390.0	104527.0
391.0	102924.0
