#Duplication rate	Coverage
1.0	4.675322E7
2.0	1450931.0
3.0	167690.0
4.0	69314.0
5.0	39640.0
6.0	25651.0
7.0	17853.0
8.0	12911.0
9.0	9619.0
10.0	7241.0
11.0	5628.0
12.0	4634.0
13.0	3729.0
14.0	3049.0
15.0	2440.0
16.0	2106.0
17.0	1696.0
18.0	1436.0
19.0	1186.0
20.0	960.0
21.0	856.0
22.0	715.0
23.0	566.0
24.0	497.0
25.0	447.0
26.0	423.0
27.0	296.0
28.0	238.0
29.0	212.0
30.0	196.0
31.0	184.0
32.0	169.0
33.0	152.0
34.0	139.0
35.0	103.0
36.0	97.0
37.0	91.0
38.0	85.0
39.0	75.0
40.0	61.0
41.0	71.0
42.0	51.0
43.0	46.0
44.0	31.0
45.0	29.0
46.0	46.0
47.0	26.0
48.0	37.0
49.0	30.0
50.0	548.0
