#GC Content (%)	Sample
1.0	1.412302256820489E-6
2.0	1.283911142564081E-7
3.0	1.283911142564081E-7
4.0	0.0
5.0	1.283911142564081E-7
6.0	6.419555712820404E-7
7.0	8.987377997948565E-7
8.0	2.824604513640978E-6
9.0	8.987377997948567E-6
10.0	2.285361833764064E-5
11.0	5.212679238810169E-5
12.0	1.0900405600369047E-4
13.0	1.8937689352820197E-4
14.0	3.119904076430717E-4
15.0	5.179297549103502E-4
16.0	7.424858137448081E-4
17.0	0.0011226519030580323
18.0	0.0015621346871577172
19.0	0.002202292782840168
20.0	0.0030580195593591275
21.0	0.00411917211868834
22.0	0.005521588259711086
23.0	0.00725653738665793
24.0	0.009530087237910403
25.0	0.013788435324452692
26.0	0.014049326068621712
27.0	0.018786187837997636
28.0	0.02240322230882916
29.0	0.02630759609336653
30.0	0.03046220415958964
31.0	0.03495396729185008
32.0	0.03973409686673041
33.0	0.044168854344261
34.0	0.047761879676726585
35.0	0.04992655386308962
36.0	0.05145941537619688
37.0	0.05222077468373738
38.0	0.051750863205558925
39.0	0.0502287865460492
40.0	0.047510746657241046
41.0	0.044233948639188995
42.0	0.04103867897868978
43.0	0.03785881625190131
44.0	0.03464505827094916
45.0	0.031111221242155783
46.0	0.027851370851185584
47.0	0.02463491665683405
48.0	0.02106833989390529
49.0	0.01782646425893098
50.0	0.015102389987752771
51.0	0.013991293284977814
52.0	0.009718308611410298
53.0	0.009232219852835536
54.0	0.00765146845411064
55.0	0.006162516702079076
56.0	0.005021119696339608
57.0	0.00412957179894311
58.0	0.0032972122052188167
59.0	0.0025095327192557527
60.0	0.0019993064312007866
61.0	0.001650981338223152
62.0	0.0015318343841932052
63.0	0.001259388439741107
64.0	8.825605193985492E-4
65.0	6.857369412434758E-4
66.0	6.080603171183488E-4
67.0	4.710669982067613E-4
68.0	3.636036355741477E-4
69.0	3.1340270989989213E-4
70.0	2.73729855594662E-4
71.0	2.2429927660594492E-4
72.0	1.8449803118645843E-4
73.0	1.3904757673968997E-4
74.0	1.2004569182974157E-4
75.0	9.411068674994714E-5
76.0	8.55084820947678E-5
77.0	5.2511965730870916E-5
78.0	3.9416072076717285E-5
79.0	2.7090525108102108E-5
80.0	2.015740493825607E-5
81.0	1.6048889282051012E-5
82.0	1.2453938082871584E-5
83.0	1.0528071369025464E-5
84.0	2.9529956278973864E-6
85.0	3.851733427692243E-7
86.0	1.283911142564081E-7
87.0	1.283911142564081E-7
88.0	2.567822285128162E-7
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
