#Duplication rate	Coverage
1.0	4.6407929E7
2.0	1665879.0
3.0	178281.0
4.0	72284.0
5.0	41340.0
6.0	26755.0
7.0	18645.0
8.0	13655.0
9.0	10172.0
10.0	8071.0
11.0	6227.0
12.0	4772.0
13.0	3869.0
14.0	3125.0
15.0	2412.0
16.0	2056.0
17.0	1693.0
18.0	1403.0
19.0	1153.0
20.0	1003.0
21.0	802.0
22.0	719.0
23.0	606.0
24.0	479.0
25.0	452.0
26.0	389.0
27.0	288.0
28.0	281.0
29.0	270.0
30.0	208.0
31.0	174.0
32.0	153.0
33.0	141.0
34.0	109.0
35.0	118.0
36.0	103.0
37.0	90.0
38.0	71.0
39.0	73.0
40.0	62.0
41.0	52.0
42.0	42.0
43.0	33.0
44.0	39.0
45.0	45.0
46.0	27.0
47.0	31.0
48.0	37.0
49.0	26.0
50.0	321.0
