#Position (bp)	insert size
2100169.5	312.49215521585757
6300507.5	312.5337762669963
1.05008455E7	312.37810462523197
1.47011835E7	312.64184969748845
1.89015215E7	313.4633476841284
2.31018595E7	312.9364020006252
2.73021975E7	312.45264352596234
3.15025355E7	312.0328250107977
3.57028735E7	312.02393641672074
3.8653933E7	311.1742640665756
4.0754102E7	312.8175717530456
4.41035495E7	312.549885696929
4.83038875E7	313.34558177577173
5.25042255E7	313.3614685516445
5.67045635E7	313.1352896282105
6.09049015E7	313.0354608895817
6.51052395E7	312.1501383254977
6.75716935E7	311.59178778044304
6.96718625E7	313.6565654810516
7.35059155E7	312.6007563581356
7.77062535E7	312.0869544190545
8.19065915E7	313.3151164290782
8.61069295E7	313.02759157371634
9.03072675E7	313.1470293361231
9.45076055E7	313.02171414327455
9.87079435E7	312.9760758182378
1.029082815E8	310.64538177252035
1.061478055E8	313.12373085527446
1.082479745E8	310.71314536457845
1.113089575E8	313.2821049300232
1.155092955E8	312.8438002243988
1.197096335E8	313.1457104510296
1.239099715E8	312.76187510010857
1.281103095E8	312.4596796781504
1.323106475E8	314.8959153777372
1.365109855E8	312.22043274738945
1.407113235E8	311.80171415905227
1.431893125E8	313.04277971351144
1.452894815E8	312.105213241143
1.491119995E8	311.44913809800505
1.533123375E8	312.0276325750748
1.575126755E8	313.2370100273473
1.617130135E8	313.2102512562814
1.659133515E8	313.19642939805885
1.701136895E8	313.120754415408
1.743140275E8	313.4874452742725
1.785143655E8	312.92024447294955
1.82081576E8	312.73156137647663
1.84181745E8	312.8517378351539
1.869150415E8	311.94110999962953
1.911153795E8	313.4392896475771
1.953157175E8	313.9848484848485
1.995160555E8	313.3312962644173
2.037163935E8	313.764131675377
2.079167315E8	312.7936057276879
2.121170695E8	312.8987839129915
2.159577405E8	312.4002930491158
2.180579095E8	311.54337686567163
2.205177455E8	312.8709655060878
2.247180835E8	312.3123671588451
2.289184215E8	312.44103037828995
2.331187595E8	313.5363793324867
2.373190975E8	313.44051930684793
2.415194355E8	313.48012613061155
2.457197735E8	313.47620903710117
2.499201115E8	313.08774173137004
2.541204495E8	313.1730135373749
2.583207875E8	312.0891713800377
2.625211255E8	312.4317504655493
2.64771353E8	312.7116024726581
2.66871522E8	311.46221986473944
2.709218015E8	312.7697918386337
2.751221395E8	312.715585443038
2.793224775E8	313.3702404656149
2.835228155E8	312.77196097274935
2.877231535E8	312.48190124905693
2.911785265E8	313.2032239675703
2.932786955E8	312.74274446354536
