#Mapping quality	mapping quality
0.0	1.6815413E7
1.0	1.5920423E7
2.0	1.7251842E7
3.0	1.6897394E7
4.0	1.7272276E7
5.0	1.3882367E7
6.0	3.9961052E7
7.0	1.4743122E7
8.0	1.7453196E7
9.0	1.2129314E7
10.0	1.0846333E7
11.0	1.3097992E7
12.0	1.309475E7
13.0	1.2008965E7
14.0	1.1325665E7
15.0	1.3116266E7
16.0	1.2744948E7
17.0	1.203874E7
18.0	1.3640363E7
19.0	1.1601967E7
20.0	1.1944647E7
21.0	1.6020304E7
22.0	1.6422423E7
23.0	2.8537421E7
24.0	2.501879E7
25.0	1.594987E7
26.0	1.7201378E7
27.0	1.8748536E7
28.0	2.1072968E7
29.0	2.2603979E7
30.0	2.4294481E7
31.0	2.3788901E7
32.0	3.2945814E7
33.0	3.0579082E7
34.0	3.0253356E7
35.0	3.5261749E7
36.0	3.8128106E7
37.0	4.0972157E7
38.0	4.4469823E7
39.0	3.8213807E7
40.0	4.3142841E7
41.0	1.33344855E8
42.0	3.36993738E8
