#Coverage (X)	Coverage
1.0	80.45493320722949
2.0	73.9827217314823
3.0	65.84403234672877
4.0	55.84656995843625
5.0	44.76941659011533
6.0	33.84995365458461
7.0	24.224701497079735
8.0	16.539060851829717
9.0	10.9082453839125
10.0	7.08111728335426
11.0	4.627499485974326
12.0	3.120829280218828
13.0	2.216427260305551
14.0	1.6735978729917633
15.0	1.3391261594426993
16.0	1.122665981542326
17.0	0.9729215773574253
18.0	0.8621639235120568
19.0	0.7760198884458447
20.0	0.7059771199813127
21.0	0.6474428916735775
22.0	0.5975368990950756
23.0	0.554495236267357
24.0	0.5166153613321001
25.0	0.4830826373232071
26.0	0.4532471759501391
27.0	0.42652753580705394
28.0	0.40261386082282513
29.0	0.38084662062401264
30.0	0.36107195851761276
31.0	0.3432098809270485
32.0	0.3270054083270253
33.0	0.311985840579851
34.0	0.2982408133449752
35.0	0.2856292665208713
36.0	0.27407043278357435
37.0	0.26330766607495093
38.0	0.25344167259406447
39.0	0.24419431991287865
40.0	0.2354806148563
41.0	0.227330376458454
42.0	0.21969783458511927
43.0	0.21256703813621414
44.0	0.20593328510834397
45.0	0.19969848813978786
46.0	0.19377176167144228
47.0	0.1881664379660748
48.0	0.1828477579100536
49.0	0.1777435844388151
50.0	0.17292950672067775
51.0	0.16840957204969698
