Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR18681860_1	(1, 5.748190595342256e-05)	(2, 0.0004059659607960468)	(3, 0.00016526047961608984)	(4, 0.00010418595454057838)	(5, 6.825976331968929e-05)	(6, 5.3889286831333647e-05)	(7, 0.00012214905015102293)	(8, 0.00012574166927311185)	(9, 9.340809717431164e-05)	(10, 7.975614451037379e-05)	(15, 6.394862037318259e-05)	(20, 0.00010849709748708508)	(25, 0.00011855643102893402)	(30, 0.0001796309561044455)	(35, 0.000135082478990543)	(40, 8.047466833479158e-05)	(45, 0.0001307713360440363)	(50, 0.00016094933666958316)	(55, 0.0001796309561044455)	(60, 0.00017675686080677436)	(65, 0.0001271787169219474)	(70, 0.00011640085955568068)	(75, 0.0001192749548533518)	(80, 0.00017244571786026767)	(85, 0.00010274890689174283)	(90, 0.0001314898598684541)	(95, 0.0001472973840056453)	(100, 0.00015089000312773422)	(105, 0.00014873443165448085)	(110, 6.107452507551146e-05)	(115, 0.0001587937651963298)	(120, 0.00014226771723472082)	(125, 0.00016813457491376098)	(130, 0.0001825050514021166)	(135, 0.0003535137216135487)	(140, 0.0001674160510893432)	(145, 0.0001947199564172189)	(150, 0.00022992762381369023)
SRR18681860_2	(1, 0.00012214905015102293)	(2, 0.00015089000312773422)	(3, 7.544500156386711e-05)	(4, 2.5148333854622367e-05)	(5, 9.700071629640056e-05)	(6, 7.544500156386711e-05)	(7, 1.796309561044455e-05)	(8, 3.59261912208891e-05)	(9, 3.59261912208891e-05)	(10, 4.38299532894847e-05)	(15, 0.04684416073291729)	(20, 6.825976331968929e-05)	(25, 2.5148333854622367e-05)	(30, 8.119319215920935e-05)	(35, 5.1733715358080295e-05)	(40, 7.616352538828489e-05)	(45, 0.0001192749548533518)	(50, 5.748190595342256e-05)	(55, 8.406728745688049e-05)	(60, 9.340809717431164e-05)	(65, 0.00010993414513592065)	(70, 6.897828714410706e-05)	(75, 7.328943009061377e-05)	(80, 0.00020980895672999232)	(85, 0.00023136467146252576)	(90, 0.00028812805359153054)	(95, 0.00020693486143232118)	(100, 0.0005281150109470698)	(105, 0.0005554189162749455)	(110, 0.00039806219872745124)	(115, 0.0003298024354077619)	(120, 0.00034345438807169976)	(125, 0.0002572315291415659)	(130, 0.0006172119651748747)	(135, 0.0006121822984039502)	(140, 0.0008198356836606892)	(145, 0.0006100267269306969)	(150, 0.0008586359701792495)
SRR18681861_1	(1, 9.341394333883853e-05)	(2, 0.0004383269648976269)	(3, 0.0001724565107793942)	(4, 6.107834756770212e-05)	(5, 5.7485503593131405e-05)	(6, 0.00010778531923712138)	(7, 0.00011137816321169209)	(8, 9.341394333883853e-05)	(9, 5.389265961856069e-05)	(10, 8.982109936426782e-05)	(15, 7.401258587615668e-05)	(20, 0.0001099410256218638)	(25, 0.00012934238308454568)	(30, 0.0002011992625759599)	(35, 0.00010491104405746482)	(40, 8.26354114151264e-05)	(45, 0.00013796520862351537)	(50, 0.00019042073065224775)	(55, 0.00016455225403533863)	(60, 0.0001350909334438588)	(65, 0.00012287526393031837)	(70, 0.00011497100718626281)	(75, 0.00011856385116083352)	(80, 0.0001652708228302528)	(85, 0.00011568957598117696)	(90, 0.0001451508965726568)	(95, 0.00016024084126585377)	(100, 0.00013293522705911637)	(105, 0.00015808513488111135)	(110, 8.407254900495467e-05)	(115, 0.00016024084126585377)	(120, 0.00014155805259808609)	(125, 0.0001652708228302528)	(130, 0.0002076663817301872)	(135, 0.00035569155348250055)	(140, 0.00019113929944716192)	(145, 0.00024359482147589433)	(150, 0.00020838495052510133)
SRR18681861_2	(1, 0.00015449229090654063)	(2, 0.00014012091500825778)	(3, 8.62282553896971e-05)	(4, 3.5928439745707125e-05)	(5, 0.00011856385116083352)	(6, 4.311412769484855e-05)	(7, 3.233559577113642e-05)	(8, 3.5928439745707125e-05)	(9, 2.514990782199499e-05)	(10, 2.730561420673742e-05)	(15, 0.04725452109114384)	(20, 6.898260431175768e-05)	(25, 2.083849505251013e-05)	(30, 8.26354114151264e-05)	(35, 5.245552202873241e-05)	(40, 6.25154851575304e-05)	(45, 0.00011712671357100523)	(50, 5.245552202873241e-05)	(55, 8.335398021004052e-05)	(60, 9.556964972358096e-05)	(65, 0.00010850388803203552)	(70, 6.035977877278797e-05)	(75, 9.772535610832339e-05)	(80, 0.00019904355619121747)	(85, 0.0002414391150911519)	(90, 0.00028814608676057114)	(95, 0.0002112592257047579)	(100, 0.0005324594770313797)	(105, 0.000529585201851723)	(110, 0.0004016799563570057)	(115, 0.00030467316904359644)	(120, 0.00033700876481473284)	(125, 0.00024431339027080847)	(130, 0.0006589275849362687)	(135, 0.0005791664487007988)	(140, 0.0007487486843005365)	(145, 0.0005655136415974302)	(150, 0.0008622825538969711)
SRR18681862_1	(1, 9.342217686535612e-05)	(2, 0.0005317877760027963)	(3, 0.0001940306750280473)	(4, 0.0001006084981626912)	(5, 6.467689167601578e-05)	(6, 7.186321297335085e-05)	(7, 0.0001329469440006991)	(8, 0.00011857430140602891)	(9, 5.03042490813456e-05)	(10, 8.120543065988646e-05)	(15, 8.3361327049087e-05)	(20, 8.479859130855401e-05)	(25, 0.00012432335844389698)	(30, 0.00019331204289831382)	(35, 0.00011354387649789435)	(40, 7.761227001121892e-05)	(45, 0.0001509127472440368)	(50, 0.00018612572160097872)	(55, 0.0001753462396549761)	(60, 0.00014444505807643523)	(65, 0.00014013326529803416)	(70, 0.00011857430140602891)	(75, 0.00012288609418442998)	(80, 0.00016097359706030592)	(85, 0.00011641840501682838)	(90, 0.0001437264259467017)	(95, 0.00015450590789270436)	(100, 0.00013654010464936664)	(105, 0.00013150967974123206)	(110, 7.330047723281787e-05)	(115, 0.0001437264259467017)	(120, 0.00013941463316830067)	(125, 0.00015594317215217136)	(130, 0.000166722654098174)	(135, 0.00037297007533169095)	(140, 0.00018612572160097872)	(145, 0.00018971888224964627)	(150, 0.00022636912086605523)
SRR18681862_2	(1, 0.00016169222919003943)	(2, 0.00017965803243337716)	(3, 6.467689167601578e-05)	(4, 2.1558963892005257e-05)	(5, 8.623585556802103e-05)	(6, 4.671108843267806e-05)	(7, 1.7965803243337714e-05)	(8, 5.03042490813456e-05)	(9, 3.233844583800789e-05)	(10, 2.874528518934034e-05)	(15, 0.047260123379794454)	(20, 7.54563736220184e-05)	(25, 2.6589388800139815e-05)	(30, 7.042594871388384e-05)	(35, 5.317877760027963e-05)	(40, 6.467689167601578e-05)	(45, 0.00010635755520055926)	(50, 6.180236315708173e-05)	(55, 8.767311982748805e-05)	(60, 8.767311982748805e-05)	(65, 0.00010923208371949329)	(70, 6.0365098897614716e-05)	(75, 8.911038408695506e-05)	(80, 0.00020552878910378347)	(85, 0.0002428976598499259)	(90, 0.0002845783233744694)	(95, 0.00025080261327699446)	(100, 0.0005626889575813372)	(105, 0.0005475976828569336)	(110, 0.00045345687386184387)	(115, 0.0003126049764340762)	(120, 0.000334882572455815)	(125, 0.0002601448309635301)	(130, 0.0006058068853653477)	(135, 0.0005935901391598781)	(140, 0.000795525767614994)	(145, 0.000539692729429865)	(150, 0.0008084611459501971)
SRR18681863_1	(1, 6.824227790137612e-05)	(2, 0.00036276158252836774)	(3, 0.0001652181464980685)	(4, 8.260907324903425e-05)	(5, 7.183397673829065e-05)	(6, 6.105888022754706e-05)	(7, 0.00011134266394435051)	(8, 0.00011493436278126504)	(9, 6.105888022754706e-05)	(10, 7.398899604043936e-05)	(15, 6.68055983666103e-05)	(20, 0.00010415926627052144)	(25, 0.00014869633184826163)	(30, 0.0001659364862654514)	(35, 0.00010703262534005307)	(40, 0.00010415926627052144)	(45, 0.00013576621603536934)	(50, 0.0001673731658002172)	(55, 0.0001673731658002172)	(60, 0.00016090810789377106)	(65, 0.0001343295365006035)	(70, 0.00010703262534005307)	(75, 0.00012355443998985992)	(80, 0.0001565980692894736)	(85, 0.00010415926627052144)	(90, 0.0001465413125461129)	(95, 0.0001328928569658377)	(100, 0.00014007625463966677)	(105, 0.00015085135115041037)	(110, 8.189073348165134e-05)	(115, 0.00013217451719845478)	(120, 0.00014869633184826163)	(125, 0.00016162644766115397)	(130, 0.00016234478742853685)	(135, 0.0003340279918330515)	(140, 0.00017455656347404629)	(145, 0.00021406525068010614)	(150, 0.0002011351348672138)
SRR18681863_2	(1, 4.6692084879888924e-05)	(2, 0.00017240154417189754)	(3, 0.00010775096510743597)	(4, 3.9508687206059854e-05)	(5, 0.00011493436278126504)	(6, 3.591698836914532e-05)	(7, 2.1550193021487193e-05)	(8, 1.795849418457266e-05)	(9, 1.436679534765813e-05)	(10, 3.879034743867695e-05)	(15, 0.04716116074798996)	(20, 7.614401534258809e-05)	(25, 3.663532813652823e-05)	(30, 7.614401534258809e-05)	(35, 6.249555976231285e-05)	(40, 7.901737441211971e-05)	(45, 0.00010344092650313853)	(50, 7.75806948773539e-05)	(55, 9.769420836407529e-05)	(60, 0.00010846930487481888)	(65, 0.0001012859072009898)	(70, 8.620077208594877e-05)	(75, 9.625752882930945e-05)	(80, 0.00020329015416936257)	(85, 0.00022412200742346684)	(90, 0.0002823075285814823)	(95, 0.00021837528928440357)	(100, 0.0005243880301895218)	(105, 0.0005394731653045627)	(110, 0.00040873532764087376)	(115, 0.0003541415053197729)	(120, 0.000392213512991067)	(125, 0.0003440847485764122)	(130, 0.0006594359064575081)	(135, 0.0007456366785434569)	(140, 0.000943898454341139)	(145, 0.0006781127404094637)	(150, 0.0008404575278380006)
SRR18681864_1	(1, 8.26202487429868e-05)	(2, 0.00040232468953106616)	(3, 0.00015087175857414982)	(4, 7.902806401503086e-05)	(5, 6.465932510320707e-05)	(6, 5.747495564729516e-05)	(7, 0.00010058117238276654)	(8, 8.98046181988987e-05)	(9, 5.747495564729516e-05)	(10, 7.615431623266609e-05)	(15, 7.184369455911896e-05)	(20, 9.914429849158416e-05)	(25, 0.00015015332162855862)	(30, 0.00017458017777865906)	(35, 8.98046181988987e-05)	(40, 7.328056845030133e-05)	(45, 0.0001444058260638291)	(50, 0.0001796092363977974)	(55, 0.00015590081719328813)	(60, 0.00015087175857414982)	(65, 0.0001171052221313639)	(70, 0.00012213428075050223)	(75, 0.00010848397878426962)	(80, 0.00015230863246533217)	(85, 0.00010776554183867844)	(90, 0.00012500802853286698)	(95, 0.0001429689521726467)	(100, 0.00012213428075050223)	(105, 0.00014727957384619387)	(110, 6.394088815761587e-05)	(115, 0.00015661925413887933)	(120, 0.0001573376910844705)	(125, 0.00016021143886683526)	(130, 0.00019828859698316833)	(135, 0.00038005314421773925)	(140, 0.0002184048314597216)	(145, 0.00024283168760982205)	(150, 0.000204754529493489)
SRR18681864_2	(1, 0.00010058117238276654)	(2, 0.0001652404974859736)	(3, 5.029058619138327e-05)	(4, 3.951403200751543e-05)	(5, 0.00010417335711072248)	(6, 8.26202487429868e-05)	(7, 3.951403200751543e-05)	(8, 7.184369455911896e-05)	(9, 3.592184727955948e-05)	(10, 3.951403200751543e-05)	(15, 0.047111502707142254)	(20, 7.830962706943967e-05)	(25, 4.166934284428899e-05)	(30, 8.764930736212513e-05)	(35, 7.471744234148371e-05)	(40, 8.549399652535155e-05)	(45, 0.0001171052221313639)	(50, 7.615431623266609e-05)	(55, 8.26202487429868e-05)	(60, 0.00010848397878426962)	(65, 0.0001034549201651313)	(70, 8.333868568857799e-05)	(75, 0.0001034549201651313)	(80, 0.00021624952062294806)	(85, 0.0002586373004128283)	(90, 0.0002751613501614256)	(95, 0.0002550451156848723)	(100, 0.0005316433397374803)	(105, 0.0005970211017862785)	(110, 0.0004468677801577199)	(115, 0.0004001693786942926)	(120, 0.00041238280676934283)	(125, 0.00036783971614268905)	(130, 0.0006825150983116301)	(135, 0.0007363978692309693)	(140, 0.0009433077095612318)	(145, 0.0007989018834974027)	(150, 0.0010058117238276655)
