Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR18681860_1 - polya	(1, 0.0017711612271898325)	(2, 0.016324861290772007)	(3, 0.030418706106726798)	(4, 0.044868220215768397)	(5, 0.05912373289221719)	(6, 0.0728870567489398)	(7, 0.08600730178280849)	(8, 0.09887606347813098)	(9, 0.11144663778632007)	(10, 0.12950493780349998)	(12, 0.15194623314962835)	(14, 0.17390791384295784)	(16, 0.19485827225341934)	(18, 0.21496975409887303)	(20, 0.23517823666062315)	(22, 0.25505979088226316)	(24, 0.2752844402300627)	(26, 0.2956186644610859)	(28, 0.31593672190605976)	(30, 0.3359979070838042)	(32, 0.3565674478673243)	(34, 0.37654061387657756)	(36, 0.3968065783442811)	(38, 0.4170635612641794)	(40, 0.4374876009732549)	(42, 0.4581649203304376)	(44, 0.47888714742664645)	(46, 0.4994584845197275)	(48, 0.5199759323259774)	(50, 0.5402401004841197)	(52, 0.5606910848366109)	(54, 0.5811618285942735)	(56, 0.6016954431865726)	(58, 0.6220871493235494)	(60, 0.6425902266533108)	(62, 0.66308971136395)	(64, 0.6837490676255223)	(66, 0.7042701080508942)	(68, 0.7246276843062109)	(70, 0.7453229667590041)	(72, 0.7653410405072836)	(74, 0.7857453208111875)	(76, 0.8065214371942278)	(78, 0.8276190929886948)	(80, 0.8483736536570025)	(82, 0.8688659531293976)	(84, 0.8894732164136996)	(86, 0.9098505520741879)	(88, 0.9302350729729203)	(90, 0.9509752631647397)	(92, 0.971352598825228)	(94, 0.9921215299700239)	(96, 1.0129461467112122)	(98, 1.033542632138148)	(100, 1.0544121566183624)	(102, 1.0747014731103595)	(104, 1.0949045667434265)	(106, 1.11585851777301)	(108, 1.1368250429695208)	(110, 1.1575257143509972)	(112, 1.1781275887066163)	(114, 1.1987025184188194)	(116, 1.2191696695573597)	(118, 1.2395990981951184)	(120, 1.2603213252913272)	(122, 1.2805801045207867)	(124, 1.3012376644727979)	(126, 1.3217155934687046)	(128, 1.3418091122185478)	(130, 1.3618792789440977)	(132, 1.3824829496092774)	(134, 1.4030560830119196)	(136, 1.423442400220213)	(138, 1.443683216354062)
SRR18681860_2 - polya	(1, 0.0019184586111954777)	(2, 0.015477003177959024)	(3, 0.02820924534664212)	(4, 0.040984598944790285)	(5, 0.0538389901636244)	(6, 0.06639519399532515)	(7, 0.07855980234271819)	(8, 0.0899268492450075)	(9, 0.10149508281813378)	(10, 0.11831572554775406)	(12, 0.13937565884143926)	(14, 0.15931649127859374)	(16, 0.17841485453161837)	(18, 0.1967928976506642)	(20, 0.21558768458787236)	(22, 0.23402680223199368)	(24, 0.2523276040399146)	(26, 0.27053499775066114)	(28, 0.2889830969425877)	(30, 0.30721384267762786)	(32, 0.3256278119878946)	(34, 0.3443076351131959)	(36, 0.36328564562563054)	(38, 0.38224569304245476)	(40, 0.40093270140600024)	(42, 0.42022686240117874)	(44, 0.4391114648164391)	(46, 0.4580212155655541)	(48, 0.47711778250901765)	(50, 0.4960185517103274)	(52, 0.515075599843448)	(54, 0.5343050936944289)	(56, 0.5533729196849158)	(58, 0.5723239855539348)	(60, 0.5911582913014859)	(62, 0.6102171357441676)	(64, 0.6295921306695931)	(66, 0.6488665322596001)	(68, 0.6682576939710749)	(70, 0.6879326725931949)	(72, 0.7069232572725568)	(74, 0.7260521577881193)	(76, 0.7452780590199781)	(78, 0.7643818112016858)	(80, 0.7839094924398001)	(82, 0.804024566904376)	(84, 0.823503747784342)	(86, 0.8434607470075459)	(88, 0.8631752444400087)	(90, 0.8824837759116756)	(92, 0.9017976963120256)	(94, 0.9217906217264504)	(96, 0.9416398423759915)	(98, 0.9615501375506084)	(100, 0.9812125420058009)	(102, 1.001088707298758)	(104, 1.020979243068203)	(106, 1.040934445981846)	(108, 1.0610728724707155)	(110, 1.0811681875301198)	(112, 1.100950944725902)	(114, 1.1210193151418908)	(116, 1.140954758650362)	(118, 1.161145278116502)	(120, 1.1807250523318866)	(122, 1.2007000146507008)	(124, 1.2208168854248376)	(126, 1.2408205886966286)	(128, 1.26096260780462)	(130, 1.2806591421414728)	(132, 1.3003035835010546)	(134, 1.3198240795009248)	(136, 1.3399158019412072)	(138, 1.3596267067545478)
SRR18681861_1 - polya	(1, 0.0016347440084296743)	(2, 0.016038455502483662)	(3, 0.0298960547124029)	(4, 0.0441021597878555)	(5, 0.05802083734534244)	(6, 0.07159460188127059)	(7, 0.08428811964342892)	(8, 0.09696726602968897)	(9, 0.10938413480580535)	(10, 0.1270070345010747)	(12, 0.14972817979625988)	(14, 0.17158344969357353)	(16, 0.19137642714948358)	(18, 0.2110508407542328)	(20, 0.23057255849006275)	(22, 0.250146372463524)	(24, 0.26922976323445635)	(26, 0.28901016573645544)	(28, 0.3082552344862434)	(30, 0.3276709633248236)	(32, 0.3475070549084285)	(34, 0.3672030255770251)	(36, 0.38685049285196504)	(38, 0.40660574544614214)	(40, 0.4264526155616707)	(42, 0.446511463471699)	(44, 0.4663493514772912)	(46, 0.48602735792601504)	(48, 0.5059640491409079)	(50, 0.5258594226500932)	(52, 0.5456164716662576)	(54, 0.5653896884803075)	(56, 0.5851754802482685)	(58, 0.6049792362361022)	(60, 0.6248746097452875)	(62, 0.64437477041727)	(64, 0.6640707410858666)	(66, 0.6841134211980093)	(68, 0.7040465195689277)	(70, 0.723665244092071)	(72, 0.7431689976080282)	(74, 0.763193713500298)	(76, 0.7832920826940466)	(78, 0.8033185950083037)	(80, 0.8228906125597777)	(82, 0.843175809640204)	(84, 0.8631861541565755)	(86, 0.8835827294002134)	(88, 0.9036128345584452)	(90, 0.9235064116456433)	(92, 0.9431377111226976)	(94, 0.9635324899443483)	(96, 0.9836272662941223)	(98, 1.0037274319098581)	(100, 1.0238707116532888)	(102, 1.0440786625882619)	(104, 1.0639506826116123)	(106, 1.0837759956632937)	(108, 1.1038186757754365)	(110, 1.1237463848803928)	(112, 1.143661519031438)	(114, 1.1634886285051067)	(116, 1.1837361007238)	(118, 1.2038093200097264)	(120, 1.2236094831535858)	(122, 1.2436916845494488)	(124, 1.2635439439309393)	(126, 1.2833243464329382)	(128, 1.303316726729437)	(130, 1.3232444358343933)	(132, 1.342618846967266)	(134, 1.3622573321322695)	(136, 1.382167077017353)	(138, 1.4020624505265384)
SRR18681861_2 - polya	(1, 0.001976064186013892)	(2, 0.014903116806519316)	(3, 0.02757507750483022)	(4, 0.04012847435198029)	(5, 0.05273935670272349)	(6, 0.06513826125896702)	(7, 0.07714195297800777)	(8, 0.08831569773892269)	(9, 0.09946429259201561)	(10, 0.11601832120485017)	(12, 0.13661609571106406)	(14, 0.15634080913145726)	(16, 0.17513677238442396)	(18, 0.19308302803740468)	(20, 0.21106521213013107)	(22, 0.22931506309896302)	(24, 0.24762958525933723)	(26, 0.26561356577405093)	(28, 0.28347359317164195)	(30, 0.30132823130327113)	(32, 0.31944155420106934)	(34, 0.3378584724147188)	(36, 0.3560670056778432)	(38, 0.3741354180259593)	(40, 0.39239964037068953)	(42, 0.41107883619448266)	(44, 0.4297328821104538)	(46, 0.44815339316807784)	(48, 0.46661162908743486)	(50, 0.4849207619818472)	(52, 0.5034472619367211)	(54, 0.5223402319770012)	(56, 0.5408559533999513)	(58, 0.5594022139966854)	(60, 0.5783329088986985)	(62, 0.5970947401339067)	(64, 0.6160380099898308)	(66, 0.6349651120478693)	(68, 0.6535688581481964)	(70, 0.672407935528858)	(72, 0.6917949216156416)	(74, 0.7104866923933457)	(76, 0.7291497204192533)	(78, 0.748317543023588)	(80, 0.7677548289260157)	(82, 0.7867969019912404)	(84, 0.8060599349609012)	(86, 0.8254073997639646)	(88, 0.8445806116342611)	(90, 0.8638256803840492)	(92, 0.8829449995947272)	(94, 0.9021164150430365)	(96, 0.9215123832397565)	(98, 0.9410790115252685)	(100, 0.9605109081617342)	(102, 0.9796428023263233)	(104, 0.9990190098811832)	(106, 1.0184652778935472)	(108, 1.037514536646721)	(110, 1.0569248762193393)	(112, 1.0762849159763137)	(114, 1.0956952555489319)	(116, 1.115134337873347)	(118, 1.1343416817614018)	(120, 1.153669385922605)	(122, 1.1728623584347617)	(124, 1.1919619170035798)	(126, 1.2115249524451173)	(128, 1.2308077460566382)	(130, 1.2506438376402431)	(132, 1.2702625621633865)	(134, 1.2895830806366404)	(136, 1.3088694670921361)	(138, 1.3283157351044999)
SRR18681862_1 - polya	(1, 0.0017175307900630856)	(2, 0.016162036597706608)	(3, 0.030157397324266685)	(4, 0.04422462126380012)	(5, 0.05827028623944154)	(6, 0.07169792758351215)	(7, 0.08432070094228122)	(8, 0.09640450020375017)	(9, 0.10881887024489653)	(10, 0.12607143109947375)	(12, 0.1482035041149415)	(14, 0.16929535712261995)	(16, 0.19025067002564905)	(18, 0.20976871866921115)	(20, 0.2291574135294212)	(22, 0.24889644155287638)	(24, 0.2685618097830338)	(26, 0.28855415563222003)	(28, 0.30865968604183924)	(30, 0.32876701303178285)	(32, 0.34891386478886177)	(34, 0.36939488048626673)	(36, 0.3896117988759947)	(38, 0.4103173871139414)	(40, 0.4301660065371809)	(42, 0.4500433712456097)	(44, 0.47032855968766235)	(46, 0.49006399455046884)	(48, 0.5100096293112224)	(50, 0.5303235630384643)	(52, 0.550511736143003)	(54, 0.5706639776410549)	(56, 0.5906329679460247)	(58, 0.6105570437428862)	(60, 0.630251157258233)	(62, 0.6508094259095843)	(64, 0.670631096627959)	(66, 0.6909576064174712)	(68, 0.7110990684335771)	(70, 0.7312441236103316)	(72, 0.751468228321357)	(74, 0.7721019533463302)	(76, 0.7925650032404918)	(78, 0.8128016840137875)	(80, 0.8329000281021095)	(82, 0.8533361292914061)	(84, 0.8739788372180011)	(86, 0.8944939879415685)	(88, 0.9146138909937824)	(90, 0.9347787085541046)	(92, 0.9551483362714008)	(94, 0.9753706444021017)	(96, 0.9956324772999381)	(98, 1.0160236639811264)	(100, 1.036357360091936)	(102, 1.0567090220059892)	(104, 1.0771864445427455)	(106, 1.097778848220259)	(108, 1.1179760042264193)	(110, 1.138128245724471)	(112, 1.1585302118876055)	(114, 1.1793328154630662)	(116, 1.1999880994519316)	(118, 1.2204583356673906)	(120, 1.2406626779948482)	(122, 1.26146168840966)	(124, 1.2817486734320371)	(126, 1.3021254874706307)	(128, 1.3224394211978727)	(130, 1.342000587769219)	(132, 1.362073779733)	(134, 1.382506287761648)	(136, 1.4028453736134308)	(138, 1.4229850390492125)
SRR18681862_2 - polya	(1, 0.002051694730389167)	(2, 0.015446997628621766)	(3, 0.028116482075823523)	(4, 0.04062068113318657)	(5, 0.05320033656417164)	(6, 0.06575124670996736)	(7, 0.07767694690289494)	(8, 0.08895947133971102)	(9, 0.10039290852377114)	(10, 0.11677772108169515)	(12, 0.13697487708785538)	(14, 0.15615157546979408)	(16, 0.17466174255140493)	(18, 0.19282516963041935)	(20, 0.2109526651029471)	(22, 0.22910531270001555)	(24, 0.247392703821409)	(26, 0.26538725234993604)	(28, 0.28395311342160123)	(30, 0.30248483946710414)	(32, 0.32083690748017357)	(34, 0.33924826264394603)	(36, 0.3577171083780972)	(38, 0.3763727984659791)	(40, 0.39517041839948336)	(42, 0.41397522465428493)	(44, 0.4325770173324368)	(46, 0.45123630058096736)	(48, 0.4701309358519856)	(50, 0.48891418314289525)	(52, 0.5076543125060208)	(54, 0.5267304023897967)	(56, 0.5456933077131397)	(58, 0.5644621823614546)	(60, 0.5832759715178779)	(62, 0.6022370802608965)	(64, 0.6212862214398075)	(66, 0.6402940412712588)	(68, 0.6595713481513601)	(70, 0.6788378755495156)	(72, 0.6981618935180496)	(74, 0.7173637440245288)	(76, 0.7368746063467937)	(78, 0.7559129680437586)	(80, 0.7748076033147769)	(82, 0.7941298247029867)	(84, 0.8137682442282791)	(86, 0.8331928706949758)	(88, 0.8526210903223213)	(90, 0.8719792433170176)	(92, 0.891423632167282)	(94, 0.9111267285842505)	(96, 0.9305495584706229)	(98, 0.9503945847332137)	(100, 0.9699539547242355)	(102, 0.9902463294875854)	(104, 1.0102117266319066)	(106, 1.0296650983837927)	(108, 1.04974906982952)	(110, 1.069901311327572)	(112, 1.0892846164468089)	(114, 1.1090398136931832)	(116, 1.1289998210965313)	(118, 1.1490586404177177)	(120, 1.168781499218254)	(122, 1.1883229034060325)	(124, 1.2078643075938107)	(126, 1.2273428314702377)	(128, 1.2470710800117466)	(130, 1.2668083114548776)	(132, 1.286559915540603)	(134, 1.3064408734096806)	(136, 1.3262337988428659)	(138, 1.3457536440667521)
SRR18681863_1 - polya	(1, 0.0016270395731222832)	(2, 0.015803474882423944)	(3, 0.02955249803013277)	(4, 0.04311834453715896)	(5, 0.056260370581429235)	(6, 0.06943113021639483)	(7, 0.0822499033653428)	(8, 0.09436470354225551)	(9, 0.10617061761919358)	(10, 0.12338203844568801)	(12, 0.14500047374507657)	(14, 0.1663441440834412)	(16, 0.18638223189458736)	(18, 0.20600009094181454)	(20, 0.22542579410126679)	(22, 0.2448784350019959)	(24, 0.26503504887476026)	(26, 0.2850587698905588)	(28, 0.3054865570255102)	(30, 0.3256754961878068)	(32, 0.34572076739662677)	(34, 0.3663191602263316)	(36, 0.38643446956247146)	(38, 0.40596433198819426)	(40, 0.42596291111213436)	(42, 0.4462506219924461)	(44, 0.4661073290123281)	(46, 0.48635912290427064)	(48, 0.5058889853299935)	(50, 0.5255643115586113)	(52, 0.5454964442540684)	(54, 0.5658003177791463)	(56, 0.5857037168839082)	(58, 0.6057543756409836)	(60, 0.6255284735876165)	(62, 0.6451319658394961)	(64, 0.6647821501762554)	(66, 0.6844395179106887)	(68, 0.7040088890236176)	(70, 0.7237452741324628)	(72, 0.7437133238162892)	(74, 0.7638950795809119)	(76, 0.7842366659437774)	(78, 0.8041023522107517)	(80, 0.8242679453306083)	(82, 0.8444820263847633)	(84, 0.8650409105272621)	(86, 0.8851813617552604)	(88, 0.9055606609559135)	(90, 0.9257388250216992)	(92, 0.9457643418869162)	(94, 0.9661669871300091)	(96, 0.9866055493614714)	(98, 1.0066867375586606)	(100, 1.0266440121459761)	(102, 1.046901193586174)	(104, 1.0671781293699751)	(106, 1.0877441969101476)	(108, 1.1081773715933545)	(110, 1.1281741548678763)	(112, 1.1486953261725872)	(114, 1.1690943797168436)	(116, 1.1888882320070793)	(118, 1.2090628043740281)	(120, 1.2291368091735437)	(122, 1.249207222274222)	(124, 1.2693243274597803)	(126, 1.2891505050395486)	(128, 1.3091167588739565)	(130, 1.3288639190793126)	(132, 1.3492144846892704)	(134, 1.3692956728864596)	(136, 1.3891128712191354)	(138, 1.4087648514053133)
SRR18681863_2 - polya	(1, 0.002007759649835224)	(2, 0.014733148629023411)	(3, 0.026707872551296464)	(4, 0.038686188172406426)	(5, 0.05077584645746074)	(6, 0.062470417870454466)	(7, 0.07449901727528123)	(8, 0.08527052208718791)	(9, 0.09625393713047256)	(10, 0.11228189319020365)	(12, 0.13216912965019942)	(14, 0.15121770443177562)	(16, 0.16969160739944555)	(18, 0.18748308758810167)	(20, 0.20524942588489942)	(22, 0.22323306196133047)	(24, 0.2414034663772811)	(26, 0.25946791567754274)	(28, 0.2778286801318498)	(30, 0.2957279112856134)	(32, 0.3143903784422213)	(34, 0.33307259994243227)	(36, 0.3509682393973589)	(38, 0.3694134087743335)	(40, 0.3880094295024585)	(42, 0.40722322243053277)	(44, 0.42586773109295606)	(46, 0.44433624651237064)	(48, 0.46309568953757524)	(50, 0.48194492503370273)	(52, 0.5003757276153296)	(54, 0.5189771358917099)	(56, 0.5374815682994937)	(58, 0.5562140735834213)	(60, 0.574824461106894)	(62, 0.593738347182086)	(64, 0.6121386203235991)	(66, 0.6309681014761235)	(68, 0.6502016487478008)	(70, 0.6691334933171773)	(72, 0.6885376462836081)	(74, 0.7075089995401906)	(76, 0.7268197683368618)	(78, 0.7457534087556567)	(80, 0.7646996201203808)	(82, 0.7837374198054463)	(84, 0.8030841055904865)	(86, 0.8223948743871574)	(88, 0.8415296499408196)	(90, 0.8605764288729774)	(92, 0.8797345504690794)	(94, 0.899341634419796)	(96, 0.9189110055327248)	(98, 0.9380691271288268)	(100, 0.9573385913888732)	(102, 0.9770534263046973)	(104, 0.9968041782088901)	(106, 1.0163484074299607)	(108, 1.0359878166702092)	(110, 1.055057941644807)	(112, 1.074596783317622)	(114, 1.0942002755695015)	(116, 1.114349706044592)	(118, 1.1337143503238167)	(120, 1.1533088633286042)	(122, 1.1733289926455657)	(124, 1.192892976210239)	(126, 1.2123474129603866)	(128, 1.2318467459459956)	(130, 1.2518291624251696)	(132, 1.2714883260090213)	(134, 1.29074342347372)	(136, 1.3101026802046896)	(138, 1.3291889678240532)
SRR18681864_1 - polya	(1, 0.0018787126127209606)	(2, 0.01616123909107381)	(3, 0.029894161306049397)	(4, 0.044280861141512966)	(5, 0.05814310200669497)	(6, 0.07154554322669861)	(7, 0.08466060966846578)	(8, 0.09740568108325348)	(9, 0.10967299192922304)	(10, 0.12739862746932165)	(12, 0.14989109214341784)	(14, 0.17135259980059064)	(16, 0.19213698063654375)	(18, 0.21227117603673684)	(20, 0.23225809186308372)	(22, 0.25207797109958063)	(24, 0.27209901268084313)	(26, 0.2918308833915052)	(28, 0.3122632301241186)	(30, 0.33251776371269826)	(32, 0.3525226404626849)	(34, 0.3725975648148667)	(36, 0.3925413744244781)	(38, 0.4127276565032266)	(40, 0.43298398618417017)	(42, 0.4530948323836316)	(44, 0.4732218434143687)	(46, 0.4935105027578639)	(48, 0.5136357176962372)	(50, 0.5336801084782312)	(52, 0.5540100779460979)	(54, 0.5741927678401184)	(56, 0.5945460865087169)	(58, 0.6148958129925872)	(60, 0.6351305895651631)	(62, 0.6556042464221481)	(64, 0.6760455736165814)	(66, 0.6963917079157239)	(68, 0.7169569654832717)	(70, 0.7372204795336712)	(72, 0.7572612781309375)	(74, 0.7781121143843577)	(76, 0.7986935367831813)	(78, 0.8187522963040874)	(80, 0.8391559055588771)	(82, 0.8596277663234981)	(84, 0.8801337528430346)	(86, 0.9007564853662298)	(88, 0.9210559212639088)	(90, 0.9416319553856405)	(92, 0.9618020726331131)	(94, 0.9822344193657264)	(96, 1.0028535597041937)	(98, 1.0234978453357564)	(100, 1.043998443578201)	(102, 1.0648834055865368)	(104, 1.0853786155518896)	(106, 1.1058217388386868)	(108, 1.1265971392128202)	(110, 1.1470187093912498)	(112, 1.1670828571892478)	(114, 1.1873122454847316)	(116, 1.2076458071373262)	(118, 1.2277584494291514)	(120, 1.2480776423428344)	(122, 1.268580036677643)	(124, 1.2886477766603688)	(126, 1.3086508573179916)	(128, 1.3289790306934943)	(130, 1.349549676538134)	(132, 1.3697233859703346)	(134, 1.3900910733778449)	(136, 1.410473129524267)	(138, 1.431011445706355)
SRR18681864_2 - polya	(1, 0.0019792937851037273)	(2, 0.01529193038690847)	(3, 0.027562833417605986)	(4, 0.03947451797550791)	(5, 0.05167357731164631)	(6, 0.0635960384237321)	(7, 0.07550772298163402)	(8, 0.0864531098477158)	(9, 0.09796246971608664)	(10, 0.11393691520130675)	(12, 0.1337801436385354)	(14, 0.15296061399345617)	(16, 0.1715358012217164)	(18, 0.1897050715757176)	(20, 0.2080090488570171)	(22, 0.2259178858182415)	(24, 0.24416977642098564)	(26, 0.2623534155138987)	(28, 0.2807040911966616)	(30, 0.2988823420124827)	(32, 0.31729049265089293)	(34, 0.33549388875980973)	(36, 0.3541588806062688)	(38, 0.37261911792323443)	(40, 0.3913936714038962)	(42, 0.40998861564816014)	(44, 0.42827103982109194)	(46, 0.4465588522711157)	(48, 0.46506758408190874)	(50, 0.48376131340619144)	(52, 0.5028088729261779)	(54, 0.521874393369804)	(56, 0.5408070029784959)	(58, 0.55971805947882)	(60, 0.5788428509704575)	(62, 0.5983843358905379)	(64, 0.6176779600643891)	(66, 0.63701648654734)	(68, 0.6562580240426361)	(70, 0.6753846116266375)	(72, 0.6943567352673368)	(74, 0.7137329796899312)	(76, 0.7327338408084543)	(78, 0.7515479083211235)	(80, 0.7709025996353502)	(82, 0.7901890394397457)	(84, 0.809561691677612)	(86, 0.8292702131875423)	(88, 0.8485117506828384)	(90, 0.8678089670414177)	(92, 0.8867397805577456)	(94, 0.905862775957019)	(96, 0.9252551852108892)	(98, 0.944525460184009)	(100, 0.9640220427949899)	(102, 0.9835707120845261)	(104, 1.0034552506461263)	(106, 1.022874601285456)	(108, 1.0423298737720654)	(110, 1.0616791768092004)	(112, 1.081037460308155)	(114, 1.1008070489584605)	(116, 1.1207275093673401)	(118, 1.1399995804328238)	(120, 1.159467425565981)	(122, 1.1793034696337537)	(124, 1.1985665602374176)	(126, 1.217847611764721)	(128, 1.2373100686207863)	(130, 1.256842573079047)	(132, 1.276739684287195)	(134, 1.2960153475374065)	(136, 1.315368242759269)	(138, 1.3350103088517322)
