Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR18681860_1	(1, 36.089398482750724)	(2, 35.775471364202986)	(3, 35.94767400545345)	(4, 35.965652585252315)	(5, 35.95524922250333)	(6, 35.938265618570334)	(7, 35.95298256724683)	(8, 35.93132439101693)	(9, 35.9315176739257)	(10, 35.91578463915338)	(15, 35.91542880459981)	(20, 35.9028973036172)	(25, 35.900801836661856)	(30, 35.88620757592839)	(35, 35.87844080761216)	(40, 35.86500779634276)	(45, 35.852174084239586)	(50, 35.83617097073215)	(55, 35.81486453347002)	(60, 35.81058498401608)	(65, 35.782459389213074)	(70, 35.76273896395906)	(75, 35.73540459322103)	(80, 35.70204653548289)	(85, 35.66803057577542)	(90, 35.630774648438866)	(95, 35.58669755169474)	(100, 35.54304292540365)	(105, 35.49537664408131)	(110, 35.4497599663386)	(115, 35.39201185449346)	(120, 35.32959588136396)	(125, 35.26733187602331)	(130, 35.198586167855936)	(135, 35.11594418736859)	(140, 35.0472781563081)	(145, 34.97534986900952)	(150, 34.910686806027236)
SRR18681860_2	(1, 35.97245589215762)	(2, 35.61969737500973)	(3, 35.79132368830063)	(4, 35.81865744829341)	(5, 35.79527007262767)	(6, 35.79342256824413)	(7, 35.776990036158274)	(8, 35.77574433140388)	(9, 35.774300278147756)	(10, 35.755154046837546)	(15, 35.714821321447225)	(20, 35.70824897684004)	(25, 35.68098570403443)	(30, 35.65504139667236)	(35, 35.626773210816395)	(40, 35.59839288494717)	(45, 35.565784384077425)	(50, 35.538602541576836)	(55, 35.50296574301147)	(60, 35.459457659654376)	(65, 35.415298442822355)	(70, 35.37239748335593)	(75, 35.32351668839842)	(80, 35.2719505327962)	(85, 35.21352406260843)	(90, 35.15431507686445)	(95, 35.08816497134563)	(100, 35.02818850156383)	(105, 34.95182248179135)	(110, 34.872812351826916)	(115, 34.79087928131523)	(120, 34.70094753173773)	(125, 34.602429364976544)	(130, 34.4967174526491)	(135, 34.38865270531765)	(140, 34.280784783217406)	(145, 34.15636264702165)	(150, 34.08815884952264)
SRR18681861_1	(1, 36.10888325642731)	(2, 35.81631409130652)	(3, 35.99380967354557)	(4, 36.019495130690416)	(5, 36.00882740207488)	(6, 35.991023315257976)	(7, 36.00179142793416)	(8, 35.98347410335548)	(9, 35.98337098873342)	(10, 35.97074419008386)	(15, 35.96986496367778)	(20, 35.958601225360994)	(25, 35.95762674547546)	(30, 35.94471428698718)	(35, 35.93785372986067)	(40, 35.925337612362604)	(45, 35.91520761033337)	(50, 35.900528169621325)	(55, 35.88295910510017)	(60, 35.878968935696136)	(65, 35.85539506481202)	(70, 35.83755474775648)	(75, 35.81590510350552)	(80, 35.78506803265636)	(85, 35.756605271190736)	(90, 35.723620276056884)	(95, 35.68526545943277)	(100, 35.648111450307525)	(105, 35.609523795836786)	(110, 35.56886981775371)	(115, 35.52067295117354)	(120, 35.465225200897464)	(125, 35.41340320504677)	(130, 35.35357007252946)	(135, 35.283367338403934)	(140, 35.223797230808316)	(145, 35.162030975776176)	(150, 35.106423128372604)
SRR18681861_2	(1, 36.08694890803412)	(2, 35.76427156669267)	(3, 35.923602053152244)	(4, 35.95262727434209)	(5, 35.92777180008381)	(6, 35.92065746601601)	(7, 35.90697110174992)	(8, 35.90616105914741)	(9, 35.90643163622713)	(10, 35.88543208835061)	(15, 35.844554240159496)	(20, 35.83893152556753)	(25, 35.81153515612201)	(30, 35.78652208535563)	(35, 35.75755115203823)	(40, 35.72983602547528)	(45, 35.69653612475274)	(50, 35.669308094418795)	(55, 35.635545040179494)	(60, 35.59313900454653)	(65, 35.54965336241334)	(70, 35.50870171720696)	(75, 35.45939737084301)	(80, 35.41045405499868)	(85, 35.35372175521638)	(90, 35.29566647686869)	(95, 35.232518873927965)	(100, 35.1733018566668)	(105, 35.10019930224096)	(110, 35.022525938896365)	(115, 34.94375746233693)	(120, 34.85638554722463)	(125, 34.76124880645723)	(130, 34.65903394030361)	(135, 34.554559074690346)	(140, 34.44911489570117)	(145, 34.3283293950973)	(150, 34.262727003068)
SRR18681862_1	(1, 36.133926870772804)	(2, 35.83890761304865)	(3, 36.021047477473665)	(4, 36.04750133225414)	(5, 36.03357456496436)	(6, 36.01258288927557)	(7, 36.02510832391236)	(8, 36.00718628536573)	(9, 36.00823832687205)	(10, 35.99406425670747)	(15, 35.9927280177528)	(20, 35.982131276771064)	(25, 35.98048144112762)	(30, 35.967219501980026)	(35, 35.960357370009056)	(40, 35.94805989985646)	(45, 35.9370668045099)	(50, 35.92139442228641)	(55, 35.90330673184756)	(60, 35.9003479077798)	(65, 35.8757532693001)	(70, 35.856521344038995)	(75, 35.833898948321405)	(80, 35.802574054052855)	(85, 35.7739281700597)	(90, 35.739596727363654)	(95, 35.701917041035074)	(100, 35.66277304831999)	(105, 35.62232971841011)	(110, 35.581675311871074)	(115, 35.531686786629606)	(120, 35.47471598849772)	(125, 35.420906302191774)	(130, 35.360559032557305)	(135, 35.28852259330908)	(140, 35.22905120688697)	(145, 35.164525393243586)	(150, 35.10571718210976)
SRR18681862_2	(1, 36.052572323945995)	(2, 35.71752475355319)	(3, 35.885436132988765)	(4, 35.91321313324651)	(5, 35.886739516082464)	(6, 35.879599690283925)	(7, 35.86593472067901)	(8, 35.86345411036199)	(9, 35.865926492341124)	(10, 35.84353383612909)	(15, 35.803638563826624)	(20, 35.79591466976465)	(25, 35.77176777503336)	(30, 35.74498002220645)	(35, 35.71790949482281)	(40, 35.689642473688444)	(45, 35.65736729622315)	(50, 35.6299097351334)	(55, 35.59633649963847)	(60, 35.55090889537582)	(65, 35.509162599178865)	(70, 35.467143524598114)	(75, 35.41788493556978)	(80, 35.36837051350326)	(85, 35.3099434504784)	(90, 35.251982391644376)	(95, 35.18813336418181)	(100, 35.128696939212816)	(105, 35.05408892519259)	(110, 34.9754162991013)	(115, 34.89548688602362)	(120, 34.80730162582255)	(125, 34.7098806564029)	(130, 34.606689602769265)	(135, 34.49983233234465)	(140, 34.3936787536878)	(145, 34.27190334139148)	(150, 34.203819738172854)
SRR18681863_1	(1, 36.04336969162176)	(2, 35.73385360767112)	(3, 35.923354439831826)	(4, 35.94651482735889)	(5, 35.92943938825036)	(6, 35.90854302808515)	(7, 35.92284686095219)	(8, 35.9035651849161)	(9, 35.90465149422933)	(10, 35.89102558733435)	(15, 35.88769873318627)	(20, 35.876455623950285)	(25, 35.8743819278932)	(30, 35.86242618969098)	(35, 35.85262262616543)	(40, 35.839926796867665)	(45, 35.82753032130116)	(50, 35.81248672059148)	(55, 35.79388165596568)	(60, 35.789054822182536)	(65, 35.76374514770466)	(70, 35.74355357223542)	(75, 35.72069095809213)	(80, 35.687371234902926)	(85, 35.6579725046834)	(90, 35.62236963911113)	(95, 35.581735162638225)	(100, 35.54269140647981)	(105, 35.50045575784882)	(110, 35.458482648036)	(115, 35.4075648576405)	(120, 35.349411151750786)	(125, 35.29506190975368)	(130, 35.231264782983445)	(135, 35.15718504626359)	(140, 35.0953058220217)	(145, 35.03111781785044)	(150, 34.97217043990194)
SRR18681863_2	(1, 35.8436363968106)	(2, 35.44101162640097)	(3, 35.6250677663778)	(4, 35.653457272324545)	(5, 35.62390868924614)	(6, 35.61554739393875)	(7, 35.60063753372695)	(8, 35.598312555235836)	(9, 35.60170236468113)	(10, 35.57558483093406)	(15, 35.53102141665366)	(20, 35.52122130115899)	(25, 35.49423556041887)	(30, 35.46478276794845)	(35, 35.433340655610024)	(40, 35.40079742897577)	(45, 35.36465373257604)	(50, 35.33244696910543)	(55, 35.29428746765046)	(60, 35.243921735733)	(65, 35.196125964900915)	(70, 35.14835410759969)	(75, 35.09314947379097)	(80, 35.03973234947604)	(85, 34.97517921320102)	(90, 34.91100493650272)	(95, 34.839129202673746)	(100, 34.77462422389674)	(105, 34.693478573972)	(110, 34.606411721178716)	(115, 34.52007217303311)	(120, 34.42382178450109)	(125, 34.31853937963747)	(130, 34.20996825010062)	(135, 34.09504446846413)	(140, 33.98098311118556)	(145, 33.84950795521784)	(150, 33.779010744136066)
SRR18681864_1	(1, 36.1899026776576)	(2, 35.82231836584907)	(3, 35.97830686827157)	(4, 35.97525505589224)	(5, 35.95962898048194)	(6, 35.92414566711397)	(7, 35.93720577312939)	(8, 35.88864471611898)	(9, 35.87818039463167)	(10, 35.83404756742279)	(15, 35.816051778038045)	(20, 35.78314481547881)	(25, 35.768856038599026)	(30, 35.737530434785114)	(35, 35.720305341449375)	(40, 35.69199997471102)	(45, 35.66843111906756)	(50, 35.636622165245385)	(55, 35.599783807954324)	(60, 35.580887314170894)	(65, 35.535439876670246)	(70, 35.499440100535196)	(75, 35.453885960779374)	(80, 35.39933104899122)	(85, 35.339839254044044)	(90, 35.2746901992125)	(95, 35.201117830412386)	(100, 35.119293214664786)	(105, 35.033539323574374)	(110, 34.95359162434714)	(115, 34.85094766862182)	(120, 34.75127980920614)	(125, 34.64036086800403)	(130, 34.52292293772315)	(135, 34.38441369007464)	(140, 34.26655237771736)	(145, 34.1473619929326)	(150, 34.05031616254664)
SRR18681864_2	(1, 35.74181826045437)	(2, 35.312795017151245)	(3, 35.501087390239)	(4, 35.53153226938569)	(5, 35.50704014323908)	(6, 35.50678807963672)	(7, 35.49525515503654)	(8, 35.49366539776333)	(9, 35.4966883648993)	(10, 35.47879606635655)	(15, 35.445650906028014)	(20, 35.443158497392)	(25, 35.42123003445768)	(30, 35.399689340680354)	(35, 35.37678894032418)	(40, 35.352006220801826)	(45, 35.32351251581819)	(50, 35.300005977395394)	(55, 35.26877331058474)	(60, 35.22752678943605)	(65, 35.185487020502606)	(70, 35.14682494694702)	(75, 35.098998743166405)	(80, 35.05000979947994)	(85, 34.99406642926636)	(90, 34.93594079246181)	(95, 34.8716709823174)	(100, 34.812368251236826)	(105, 34.737133886328614)	(110, 34.65731803464964)	(115, 34.575856976733995)	(120, 34.48433362746142)	(125, 34.38610267067439)	(130, 34.28146314138279)	(135, 34.17293175294448)	(140, 34.064520264448014)	(145, 33.937502408559865)	(150, 33.86767749308037)
