#Coverage (X)	Coverage
1.0	80.50669577691643
2.0	74.0891931818882
3.0	66.04793466397025
4.0	56.10329041536494
5.0	44.9777783111741
6.0	33.936641098396365
7.0	24.17327235299986
8.0	16.392701652005385
9.0	10.7348307375768
10.0	6.921928637536325
11.0	4.506064237152515
12.0	3.0412359691333677
13.0	2.173523860184929
14.0	1.657298586576644
15.0	1.3386211999906266
16.0	1.1303120342355015
17.0	0.9847811607542098
18.0	0.8760123948213732
19.0	0.790190774341653
20.0	0.7198857055111176
21.0	0.660573087326668
22.0	0.6098313880453929
23.0	0.5654594153741073
24.0	0.5268024004617757
25.0	0.49260413465739816
26.0	0.4621202729695426
27.0	0.4348413920188676
28.0	0.4102568185264346
29.0	0.3879218262987365
30.0	0.3676349434185937
31.0	0.3490012016017374
32.0	0.3319619746034306
33.0	0.31656291351981736
34.0	0.3023121530854951
35.0	0.2892639151369565
36.0	0.2772076808644357
37.0	0.2659727496893822
38.0	0.25546014146461005
39.0	0.24573770788452975
40.0	0.23658749026060377
41.0	0.22811108757736065
42.0	0.22021767379473545
43.0	0.2128204701667329
44.0	0.2058446612724225
45.0	0.19929096134015367
46.0	0.19314282407952987
47.0	0.18732317234648121
48.0	0.18188009751739287
49.0	0.17672241643802522
50.0	0.17187613892456
51.0	0.16726537821351428
