#GC Content (%)	Sample
1.0	2.572623555069901E-7
2.0	1.2863117775349506E-7
3.0	1.2863117775349506E-7
4.0	2.572623555069901E-7
5.0	1.4149429552884457E-6
6.0	1.1576805997814556E-6
7.0	4.244828865865337E-6
8.0	1.0033231864772616E-5
9.0	1.7107946641214846E-5
10.0	4.103334570336492E-5
11.0	8.695467616136268E-5
12.0	1.6014581630310136E-4
13.0	2.678101120827767E-4
14.0	3.932255103924344E-4
15.0	5.691929615592158E-4
16.0	8.200237581785313E-4
17.0	0.001177489801155494
18.0	0.001633230063936127
19.0	0.0022702116561714347
20.0	0.0030912644637719937
21.0	0.004120571148155461
22.0	0.005527153076889929
23.0	0.007340724052036457
24.0	0.009521794302024718
25.0	0.013649954689667636
26.0	0.013935130010747135
27.0	0.018536009976634148
28.0	0.02210951272580399
29.0	0.025917381480840707
30.0	0.030009782401068153
31.0	0.034532197348525535
32.0	0.03928383305473964
33.0	0.04374437640569759
34.0	0.04708595714137787
35.0	0.049447625564932055
36.0	0.050843273843557475
37.0	0.05178614037649059
38.0	0.051660982240536446
39.0	0.05001205917291439
40.0	0.047233368471083385
41.0	0.04437981442379985
42.0	0.041221018591707285
43.0	0.03814814838635403
44.0	0.035000414835548256
45.0	0.03159001641976984
46.0	0.02820675918249741
47.0	0.024828261298801866
48.0	0.02128653045053713
49.0	0.01807435267967685
50.0	0.015398824182404154
51.0	0.014273815901772086
52.0	0.009939073842657057
53.0	0.00936910909403132
54.0	0.007741538801916346
55.0	0.006264209725417458
56.0	0.005130711787053657
57.0	0.004176911604011492
58.0	0.0033597177317435376
59.0	0.002562847585560636
60.0	0.002088327170827993
61.0	0.0018269486176328907
62.0	0.0016809522308826738
63.0	0.0013303036403266458
64.0	9.918750116572005E-4
65.0	7.319114014173868E-4
66.0	6.51388284143699E-4
67.0	5.715083227587786E-4
68.0	4.624290840238148E-4
69.0	3.712295789965868E-4
70.0	3.085861954306347E-4
71.0	2.6305075850589744E-4
72.0	2.104406068047179E-4
73.0	1.573159303925245E-4
74.0	1.3004612070878353E-4
75.0	1.1036555051249876E-4
76.0	9.377212858229791E-5
77.0	6.418695769899404E-5
78.0	4.887984754632812E-5
79.0	3.3572737393662214E-5
80.0	2.2639087284615135E-5
81.0	1.9423307840777758E-5
82.0	1.646479075244737E-5
83.0	1.4020798375130963E-5
84.0	3.987566510358348E-6
85.0	0.0
86.0	6.431558887674753E-7
87.0	2.572623555069901E-7
88.0	1.2863117775349506E-7
89.0	1.2863117775349506E-7
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
