#Duplication rate	Coverage
1.0	4.6847972E7
2.0	1470772.0
3.0	166785.0
4.0	67966.0
5.0	38502.0
6.0	24625.0
7.0	17104.0
8.0	12463.0
9.0	9378.0
10.0	7142.0
11.0	5645.0
12.0	4547.0
13.0	3588.0
14.0	2893.0
15.0	2401.0
16.0	1925.0
17.0	1631.0
18.0	1329.0
19.0	1116.0
20.0	902.0
21.0	759.0
22.0	627.0
23.0	499.0
24.0	452.0
25.0	377.0
26.0	335.0
27.0	287.0
28.0	243.0
29.0	204.0
30.0	153.0
31.0	148.0
32.0	131.0
33.0	131.0
34.0	83.0
35.0	93.0
36.0	85.0
37.0	58.0
38.0	74.0
39.0	50.0
40.0	58.0
41.0	54.0
42.0	36.0
43.0	42.0
44.0	40.0
45.0	37.0
46.0	29.0
47.0	26.0
48.0	26.0
49.0	28.0
50.0	481.0
