#Mapping quality	mapping quality
0.0	1.5730444E7
1.0	1.5262379E7
2.0	1.6494133E7
3.0	1.6344161E7
4.0	1.6811585E7
5.0	1.3503519E7
6.0	3.9924689E7
7.0	1.4414321E7
8.0	1.708708E7
9.0	1.19403E7
10.0	1.0557441E7
11.0	1.2729649E7
12.0	1.2760115E7
13.0	1.1582157E7
14.0	1.0866645E7
15.0	1.2531362E7
16.0	1.218975E7
17.0	1.1484002E7
18.0	1.3107128E7
19.0	1.1123664E7
20.0	1.1403579E7
21.0	1.5311517E7
22.0	1.5728655E7
23.0	2.7821157E7
24.0	2.4386147E7
25.0	1.539606E7
26.0	1.6620703E7
27.0	1.8233401E7
28.0	2.0544753E7
29.0	2.2182797E7
30.0	2.3852699E7
31.0	2.3553413E7
32.0	3.2697928E7
33.0	3.0340627E7
34.0	3.0172116E7
35.0	3.5345843E7
36.0	3.7895933E7
37.0	4.0882951E7
38.0	4.4477181E7
39.0	3.7619832E7
40.0	4.2476399E7
41.0	1.27846598E8
42.0	3.61386282E8
