#Insert size (bp)	insert size
124.0	2.0
125.0	3.0
126.0	8.0
127.0	9.0
128.0	15.0
129.0	15.0
130.0	17.0
131.0	26.0
132.0	38.0
133.0	47.0
134.0	59.0
135.0	80.0
136.0	85.0
137.0	102.0
138.0	143.0
139.0	149.0
140.0	201.0
141.0	268.0
142.0	289.0
143.0	349.0
144.0	445.0
145.0	547.0
146.0	684.0
147.0	897.0
148.0	1159.0
149.0	1700.0
150.0	11515.0
151.0	16692.0
152.0	17523.0
153.0	18083.0
154.0	17164.0
155.0	15633.0
156.0	14238.0
157.0	13912.0
158.0	14065.0
159.0	14051.0
160.0	14487.0
161.0	14794.0
162.0	14987.0
163.0	15495.0
164.0	15874.0
165.0	16135.0
166.0	16258.0
167.0	16522.0
168.0	17190.0
169.0	17198.0
170.0	17757.0
171.0	18188.0
172.0	18729.0
173.0	19401.0
174.0	19710.0
175.0	20065.0
176.0	20557.0
177.0	21200.0
178.0	21361.0
179.0	21887.0
180.0	22353.0
181.0	22796.0
182.0	23487.0
183.0	24024.0
184.0	24510.0
185.0	25155.0
186.0	25322.0
187.0	26097.0
188.0	26460.0
189.0	26980.0
190.0	27728.0
191.0	28401.0
192.0	28463.0
193.0	29300.0
194.0	29941.0
195.0	30890.0
196.0	31446.0
197.0	31751.0
198.0	32310.0
199.0	32330.0
200.0	33135.0
201.0	33768.0
202.0	34447.0
203.0	35749.0
204.0	36180.0
205.0	36679.0
206.0	37635.0
207.0	37319.0
208.0	37936.0
209.0	38724.0
210.0	39638.0
211.0	40585.0
212.0	41947.0
213.0	43191.0
214.0	44364.0
215.0	44995.0
216.0	45689.0
217.0	46730.0
218.0	47163.0
219.0	48004.0
220.0	48830.0
221.0	50144.0
222.0	51312.0
223.0	53398.0
224.0	54176.0
225.0	55866.0
226.0	56493.0
227.0	57364.0
228.0	58765.0
229.0	59896.0
230.0	61059.0
231.0	61173.0
232.0	62172.0
233.0	63896.0
234.0	65432.0
235.0	66382.0
236.0	67509.0
237.0	68103.0
238.0	69015.0
239.0	69992.0
240.0	70063.0
241.0	70873.0
