#Mapping quality	mapping quality
0.0	1.6685887E7
1.0	1.5788026E7
2.0	1.7213313E7
3.0	1.6884779E7
4.0	1.7398661E7
5.0	1.3978013E7
6.0	3.9869683E7
7.0	1.4708747E7
8.0	1.747581E7
9.0	1.2108107E7
10.0	1.0808703E7
11.0	1.3082686E7
12.0	1.3046634E7
13.0	1.1947639E7
14.0	1.1286629E7
15.0	1.298918E7
16.0	1.2642302E7
17.0	1.1912935E7
18.0	1.3646698E7
19.0	1.160434E7
20.0	1.1905797E7
21.0	1.5933539E7
22.0	1.6364628E7
23.0	2.8451199E7
24.0	2.4991454E7
25.0	1.5895626E7
26.0	1.7048082E7
27.0	1.8738997E7
28.0	2.0991062E7
29.0	2.2620746E7
30.0	2.4359002E7
31.0	2.3803797E7
32.0	3.3121126E7
33.0	3.0788058E7
34.0	3.0438698E7
35.0	3.543448E7
36.0	3.8293052E7
37.0	4.1236555E7
38.0	4.4811851E7
39.0	3.8186119E7
40.0	4.2836421E7
41.0	1.34495634E8
42.0	3.36810564E8
