#Coverage (X)	Coverage
1.0	80.50753880445993
2.0	74.02030418982375
3.0	65.82071624280756
4.0	55.730757472395666
5.0	44.55832401691379
6.0	33.57204936299095
7.0	23.917653355243715
8.0	16.255507430524474
9.0	10.680368027566658
10.0	6.918364995123255
11.0	4.521670007827936
12.0	3.058097174712401
13.0	2.184517025059378
14.0	1.6615969914172979
15.0	1.3391600852898904
16.0	1.1288879224003665
17.0	0.9822481498677718
18.0	0.8731100683526591
19.0	0.7878349516080618
20.0	0.7179355644872345
21.0	0.6594187752553466
22.0	0.6093301187732152
23.0	0.5655970828909176
24.0	0.5269750056493052
25.0	0.49293910775926975
26.0	0.4626347554664392
27.0	0.4353795630897821
28.0	0.41086075812570755
29.0	0.3886079616786873
30.0	0.3684659481180006
31.0	0.3502318765888077
32.0	0.33352637279271846
33.0	0.3182004010781725
34.0	0.30422836826218713
35.0	0.29137457898524133
36.0	0.2796533773336165
37.0	0.268764311242947
38.0	0.2585983418499467
39.0	0.2491948707526035
40.0	0.24042289656547666
41.0	0.23210154095585267
42.0	0.2243428187385348
43.0	0.2170495353372246
44.0	0.210164433444902
45.0	0.2037143561441752
46.0	0.19769579181226504
47.0	0.19195637173190505
48.0	0.18664608385914505
49.0	0.18154970738085296
50.0	0.17673640341010355
51.0	0.1722617032020537
