#GC Content (%)	Sample
1.0	6.431606871374423E-7
2.0	1.2863213742748845E-7
3.0	0.0
4.0	0.0
5.0	1.2863213742748845E-7
6.0	9.004249619924192E-7
7.0	1.6722177865573498E-6
8.0	3.858964122824654E-6
9.0	1.2991845880176336E-5
10.0	2.469737038607778E-5
11.0	5.839899039207976E-5
12.0	1.1332491307361734E-4
13.0	2.0156655934887443E-4
14.0	3.1592052952191164E-4
15.0	5.041093465783273E-4
16.0	7.52112107538525E-4
17.0	0.0011045641640898434
18.0	0.0015902791150160397
19.0	0.0022361410770394595
20.0	0.0030398346716864065
21.0	0.004151988131884473
22.0	0.005481658536472421
23.0	0.007370364210320233
24.0	0.009590297638043829
25.0	0.013786792489478212
26.0	0.014032608504102144
27.0	0.018651788559123254
28.0	0.02230416946923936
29.0	0.026152457124657535
30.0	0.030219290781565007
31.0	0.034899571101864174
32.0	0.03959683086430377
33.0	0.04383307304620325
34.0	0.04757343833831976
35.0	0.0497622427887859
36.0	0.05107956450818081
37.0	0.052019994064913186
38.0	0.05197407239185156
39.0	0.050292850355674296
40.0	0.047591704101834456
41.0	0.04446903033364475
42.0	0.04124447991261247
43.0	0.038176346170692016
44.0	0.034773125710772956
45.0	0.03126751406946161
46.0	0.028113968588289306
47.0	0.024714864356767924
48.0	0.021135160604298344
49.0	0.01794688444602062
50.0	0.015188625523162984
51.0	0.014134871053356996
52.0	0.009785818486933611
53.0	0.009179703855375285
54.0	0.007659271990982373
55.0	0.006159035372165575
56.0	0.004958125737142542
57.0	0.003992741545749242
58.0	0.0032129735286638072
59.0	0.0024819570916633895
60.0	0.0019467187678276104
61.0	0.0016552383444169215
62.0	0.001553233059436923
63.0	0.0012627816931256542
64.0	8.901343909982202E-4
65.0	6.952567027955751E-4
66.0	5.74857022163446E-4
67.0	4.7040772657232525E-4
68.0	3.6788791304261705E-4
69.0	3.197794936447363E-4
70.0	2.746296134076879E-4
71.0	2.397703041648385E-4
72.0	1.8162857804761366E-4
73.0	1.413667190328098E-4
74.0	1.1396807376075478E-4
75.0	1.00333067193441E-4
76.0	8.81130141378296E-5
77.0	6.0843001003202045E-5
78.0	4.219134107621621E-5
79.0	2.8813598783757414E-5
80.0	2.2253359774955506E-5
81.0	1.6336281453291033E-5
82.0	1.4792695804161172E-5
83.0	1.2220053055611406E-5
84.0	3.601699847969677E-6
85.0	1.0290570994199076E-6
86.0	6.431606871374423E-7
87.0	3.8589641228246536E-7
88.0	2.572642748549769E-7
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
