#Coverage (X)	Coverage
1.0	80.77792197380474
2.0	74.32735875971503
3.0	66.19292218822503
4.0	56.11586071550113
5.0	44.87634044466964
6.0	33.77991630235182
7.0	24.015356938275573
8.0	16.267078406143924
9.0	10.65268465528689
10.0	6.8764620503809795
11.0	4.48722009556397
12.0	3.0395788402950785
13.0	2.1806355510251763
14.0	1.6655214977103725
15.0	1.347897062287288
16.0	1.1391266835672837
17.0	0.9923997751745048
18.0	0.8819967952299805
19.0	0.7948736125982521
20.0	0.7230729495773289
21.0	0.6625983413666603
22.0	0.6108156542475172
23.0	0.5659995505730109
24.0	0.5266910403563116
25.0	0.4919937074838714
26.0	0.46108999855711374
27.0	0.43334877377999703
28.0	0.40837250554994853
29.0	0.3857934257794682
30.0	0.36533858019615195
31.0	0.3469975529697251
32.0	0.3302619325443743
33.0	0.3149251878853647
34.0	0.30067258236110206
35.0	0.2875525049431218
36.0	0.27546734442194065
37.0	0.2644471579077816
38.0	0.2541036432477597
39.0	0.24440567198908525
40.0	0.2354116918193938
41.0	0.22720580312832794
42.0	0.21962498329222058
43.0	0.2124339535847639
44.0	0.20562354807532301
45.0	0.19940529739714918
46.0	0.19350821140582752
47.0	0.18795157426714582
48.0	0.18268265212036283
49.0	0.1776923980728924
50.0	0.17289058127497015
51.0	0.1683564215557709
