#Position (bp)	mapping quality
2100169.5	33.11770200525225
6300507.5	33.40647350938706
1.05008455E7	29.857108944387527
1.47011835E7	30.169358844773594
1.89015215E7	29.226443756334458
2.31018595E7	33.10998420197388
2.73021975E7	29.716868346109557
3.15025355E7	31.141244167339508
3.57028735E7	20.910400296622704
3.8653933E7	21.449881542813788
4.0754102E7	21.747274173809846
4.41035495E7	32.19952424600888
4.83038875E7	30.60879382974998
5.25042255E7	34.09074990653771
5.67045635E7	31.898929114427514
6.09049015E7	34.52316299926525
6.51052395E7	31.169665652898644
6.75716935E7	26.76951117362416
6.96718625E7	19.954575312489972
7.35059155E7	23.223556790503373
7.77062535E7	22.45237390206125
8.19065915E7	32.82519438135718
8.61069295E7	30.237709489331973
9.03072675E7	34.16829753722511
9.45076055E7	32.884421712285224
9.87079435E7	32.514188382251454
1.029082815E8	21.678960934304246
1.061478055E8	17.91538464721039
1.082479745E8	28.68055884687599
1.113089575E8	31.933956219087452
1.155092955E8	34.933644809201944
1.197096335E8	32.17335827744065
1.239099715E8	30.36699325431214
1.281103095E8	18.6202452005172
1.323106475E8	19.156892688633047
1.365109855E8	15.817160668247734
1.407113235E8	18.851274362638918
1.431893125E8	24.595083143349274
1.452894815E8	21.465112150134686
1.491119995E8	29.778864638120034
1.533123375E8	33.501333870731756
1.575126755E8	33.60013156403225
1.617130135E8	33.78186228460839
1.659133515E8	34.751552394625335
1.701136895E8	33.47889085774514
1.743140275E8	31.66398545448513
1.785143655E8	28.991386494596362
1.82081576E8	27.510730080718197
1.84181745E8	23.612217168595976
1.869150415E8	30.565598393861748
1.911153795E8	32.46497731956162
1.953157175E8	28.223901481339993
1.995160555E8	27.499672170569298
2.037163935E8	31.324161523588472
2.079167315E8	33.252892648846995
2.121170695E8	33.61547455191726
2.159577405E8	30.23041243908765
2.180579095E8	18.325859900667524
2.205177455E8	20.392998498464912
2.247180835E8	29.475957879128963
2.289184215E8	33.21911618741598
2.331187595E8	30.574004753670227
2.373190975E8	33.5431366153221
2.415194355E8	31.661674334760843
2.457197735E8	31.350547599982853
2.499201115E8	26.669411715564525
2.541204495E8	29.45281463573221
2.583207875E8	31.51470521879801
2.625211255E8	16.82989831337691
2.64771353E8	34.5910441382744
2.66871522E8	27.39130267645806
2.709218015E8	33.637033849308146
2.751221395E8	32.54106989342982
2.793224775E8	34.501441363997166
2.835228155E8	33.138835026568024
2.877231535E8	30.70376287104485
2.911785265E8	25.02389733385747
2.932786955E8	25.00735199213515
2.961238295E8	23.881171456712178
3.003241675E8	31.541937273663937
3.045245055E8	33.109812483015276
3.087248435E8	32.3465696535574
3.129251815E8	34.64237852703221
3.171255195E8	32.27721475075138
3.213258575E8	25.94408816787036
3.242401025E8	20.396579615042498
3.263402715E8	30.767504059938368
3.297265335E8	29.843866984358456
3.339268715E8	33.29404849511166
3.381272095E8	27.879608830819915
3.423275475E8	33.46912292544034
3.45205241E8	29.3534731686421
3.4730541E8	15.937018359111004
3.507282235E8	28.258231438161076
3.549285615E8	30.37676423121683
3.591288995E8	35.61892729482939
3.633292375E8	34.91472272172191
3.675295755E8	18.403182523925857
3.71240276E8	23.480409847906035
3.73340445E8	23.944696931904648
3.759302515E8	30.13932930647257
3.801305895E8	30.04985523018479
3.843309275E8	33.025019011879
3.885312655E8	32.10663976099002
3.927316035E8	30.748981038215497
3.969319415E8	28.808138302695234
3.995115505E8	23.68954109084867
4.016117195E8	26.611457764459875
4.053326175E8	28.601151631926314
4.095329555E8	33.96365837178776
4.137332935E8	32.51874423629478
4.179336315E8	34.411711681469754
4.221339695E8	32.5634059258752
4.263343075E8	32.59792748706663
4.29544739E8	24.649078468006902
4.31644908E8	22.25516324176062
4.347349835E8	25.594616763324826
4.389353215E8	30.961685319402026
4.431356595E8	32.55096528982033
4.473359975E8	30.436781638807197
4.515363355E8	29.57528692978043
4.557366735E8	31.362097294548445
4.594834625E8	22.331531551525334
4.615836315E8	24.24301962756716
4.641373495E8	18.694438298865805
4.683376875E8	26.548854055980254
4.725380255E8	31.941418639928614
4.767383635E8	33.49136429399028
4.809387015E8	32.44804559823641
4.851390395E8	28.44019079161514
4.88957394E8	23.577241414753807
4.91057563E8	27.098749698299432
4.935397155E8	31.92895416213708
4.977400535E8	31.58757821731783
5.019403915E8	32.63010719637059
5.061407295E8	34.29939400572399
5.103410675E8	33.317397080982445
5.133447625E8	27.37434926524449
5.154449315E8	18.278249590518808
5.187417435E8	34.070146267045594
5.229420815E8	34.513553525507504
5.271424195E8	33.100310311503044
5.313427575E8	33.95364865012053
5.355430955E8	22.077805421602456
5.397434335E8	25.662867502002204
5.424857625E8	26.84445495313933
5.445859315E8	26.626482400847255
5.481441095E8	30.25363776236106
5.523444475E8	29.7062153043407
5.565447855E8	24.766776152145635
5.607451235E8	34.191832937348764
5.649454615E8	32.12290808902149
5.691457995E8	32.6236744913928
5.72266017E8	25.680654879098054
5.74366186E8	33.43044213388324
5.775464755E8	25.982986392648804
5.817468135E8	31.602403138740762
5.859471515E8	33.563054507102315
5.901474895E8	32.5072064874021
5.943478275E8	34.858626249752874
5.97053186E8	35.07337208007976
5.99153355E8	24.698149263012276
6.027485035E8	27.35562500441693
6.069488415E8	29.57238111234072
6.111491795E8	29.110492007896003
6.153495175E8	33.82270277053579
6.195498555E8	30.87506523057485
6.234487385E8	32.28727490618882
6.255489075E8	29.44973139344825
6.279505315E8	27.217320747035124
6.321508695E8	32.2970522462753
6.363512075E8	31.890482341165818
6.405515455E8	28.645357257887817
6.447518835E8	30.66773803470806
6.487291505E8	26.261348505972816
6.508293195E8	26.5239895676183
6.531525595E8	26.127452817056028
6.573528975E8	29.01684669324811
6.615532355E8	28.951647917781212
6.657535735E8	28.693193113392258
6.699539115E8	25.71829690912649
6.72448791E8	18.849104448912303
6.7454896E8	28.358129701419656
6.783545875E8	32.73659419654256
6.825549255E8	32.9387754656964
6.867552635E8	34.45707985120787
6.909556015E8	32.90927708302602
6.951559395E8	29.092487408319993
6.978079805E8	26.7899694400665
6.999081495E8	28.97132065835183
7.035566155E8	32.484163660955815
7.077569535E8	27.036464870548325
7.119572915E8	34.52958767085846
7.161576295E8	33.051702570162256
7.203579675E8	32.28382286645055
7.23336906E8	29.78753651216525
7.25437075E8	25.487715893280154
7.287586435E8	30.774662918956622
7.329589815E8	32.34921237935356
7.371593195E8	34.2865800116023
7.413596575E8	29.51147414347464
7.44593176E8	23.116685245516454
7.46693345E8	25.935587198226784
7.497603335E8	31.577655761577443
7.539606715E8	33.9203321180898
7.581610095E8	29.516557188835403
7.623613475E8	33.05419309678693
7.665616855E8	34.53496427127148
7.707620235E8	26.884516955958443
7.749623615E8	24.549598275154814
7.791626995E8	18.703663050295038
7.833630375E8	29.837898774472887
7.85832245E8	22.52028187167846
7.87932414E8	28.977911774556468
7.917637135E8	30.27325733834045
7.959640515E8	30.55404408409315
8.001643895E8	34.77462907393849
8.043647275E8	34.574420887176785
8.085650655E8	30.541715568159674
8.127654035E8	33.281882887194904
8.167383885E8	27.959038644362415
8.188385575E8	23.156404892332443
8.211660795E8	21.950274318236357
8.253664175E8	20.861290658153287
8.295667555E8	30.386538995969598
8.337670935E8	31.788320166668043
8.379674315E8	33.891435844517574
8.421677695E8	30.88784775929247
8.463681075E8	33.677378078957304
8.505684455E8	34.51805218974074
8.547687835E8	25.806304796012437
8.589691215E8	20.76092123655532
8.631694595E8	18.079976168029162
8.66160665E8	16.70531596671569
8.68260834E8	26.794283614445373
8.715701355E8	35.33041212527947
8.757704735E8	31.833433726133
8.799708115E8	36.293792585574565
8.841711495E8	31.898508357167525
8.883714875E8	23.989237726928607
8.925718255E8	19.064772792330878
8.967721635E8	17.98041221466174
9.009725015E8	21.461595950855624
9.03798353E8	20.499050728348408
9.05898522E8	31.825138273875183
9.093731775E8	33.41499531967559
9.135735155E8	35.870194742400265
9.177738535E8	33.45755148723517
9.219741915E8	33.36357096579845
9.261745295E8	33.413797927017924
9.303748675E8	32.56024009630808
9.345752055E8	31.72883733694211
9.387755435E8	28.175015132537446
9.4175844E8	20.742818704279383
9.43858609E8	25.80511739576266
9.471762195E8	32.42510123245749
9.513765575E8	30.896813641680083
9.555768955E8	26.07517700965817
9.597772335E8	33.379324065960226
9.639775715E8	36.071266542464016
9.681779095E8	36.7835825702831
9.715636425E8	32.49865649511212
9.736638115E8	11.493108288262043
9.765785855E8	19.692465127704818
9.807789235E8	28.482737920573626
9.849792615E8	28.373315700326476
9.891795995E8	35.38110038645243
9.933799375E8	32.20729606126607
9.975802755E8	33.751220074722134
1.0017806135E9	32.49255435895793
1.0059809515E9	27.27433132198567
