#Mapping quality	mapping quality
0.0	1.621051E7
1.0	1.5308625E7
2.0	1.7189558E7
3.0	1.70426E7
4.0	1.7648254E7
5.0	1.409834E7
6.0	3.9553006E7
7.0	1.4798122E7
8.0	1.7598556E7
9.0	1.2145549E7
10.0	1.083069E7
11.0	1.3163507E7
12.0	1.3081623E7
13.0	1.1936287E7
14.0	1.1236879E7
15.0	1.30391E7
16.0	1.2670578E7
17.0	1.1803014E7
18.0	1.3506242E7
19.0	1.1518359E7
20.0	1.1815035E7
21.0	1.5786199E7
22.0	1.6350178E7
23.0	2.8535272E7
24.0	2.5045887E7
25.0	1.5842243E7
26.0	1.7125821E7
27.0	1.8893785E7
28.0	2.1202931E7
29.0	2.3063394E7
30.0	2.4782962E7
31.0	2.4481683E7
32.0	3.407753E7
33.0	3.1804354E7
34.0	3.1419654E7
35.0	3.7153216E7
36.0	3.9958236E7
37.0	4.3413785E7
38.0	4.7326805E7
39.0	4.0474734E7
40.0	4.2238761E7
41.0	1.3889059E8
42.0	3.23115607E8
