#Duplication rate	Coverage
1.0	4.6310835E7
2.0	1723614.0
3.0	183310.0
4.0	72347.0
5.0	40413.0
6.0	25230.0
7.0	17168.0
8.0	11984.0
9.0	8683.0
10.0	6724.0
11.0	5278.0
12.0	4037.0
13.0	3181.0
14.0	2715.0
15.0	2155.0
16.0	1873.0
17.0	1519.0
18.0	1352.0
19.0	1107.0
20.0	878.0
21.0	817.0
22.0	630.0
23.0	539.0
24.0	500.0
25.0	443.0
26.0	365.0
27.0	311.0
28.0	274.0
29.0	242.0
30.0	178.0
31.0	170.0
32.0	154.0
33.0	125.0
34.0	142.0
35.0	108.0
36.0	86.0
37.0	86.0
38.0	87.0
39.0	71.0
40.0	71.0
41.0	40.0
42.0	50.0
43.0	47.0
44.0	45.0
45.0	33.0
46.0	36.0
47.0	35.0
48.0	20.0
49.0	23.0
50.0	413.0
