#Insert size (bp)	insert size
479.0	22784.0
480.0	22447.0
481.0	21667.0
482.0	21384.0
483.0	21168.0
484.0	20600.0
485.0	20139.0
486.0	20023.0
487.0	19373.0
488.0	18841.0
489.0	18612.0
490.0	18233.0
491.0	18092.0
492.0	17558.0
493.0	17259.0
494.0	17217.0
495.0	16644.0
496.0	16621.0
497.0	16339.0
498.0	16193.0
499.0	16090.0
500.0	16382.0
501.0	5971.0
502.0	5761.0
503.0	5627.0
504.0	5569.0
505.0	5490.0
506.0	5399.0
507.0	5060.0
508.0	4957.0
509.0	4921.0
510.0	4641.0
511.0	4686.0
512.0	4574.0
513.0	4427.0
514.0	4338.0
515.0	4269.0
516.0	4051.0
517.0	4046.0
518.0	3960.0
519.0	3882.0
520.0	3693.0
521.0	3435.0
522.0	3556.0
523.0	3424.0
524.0	3531.0
525.0	4032.0
526.0	4821.0
527.0	8431.0
528.0	14932.0
529.0	1385.0
530.0	1426.0
531.0	1383.0
532.0	1410.0
533.0	1354.0
534.0	1381.0
535.0	1320.0
536.0	1318.0
537.0	1308.0
538.0	1225.0
539.0	1258.0
540.0	1247.0
541.0	1260.0
542.0	1207.0
543.0	1188.0
544.0	1179.0
545.0	1137.0
546.0	1248.0
547.0	1262.0
548.0	1293.0
549.0	1364.0
550.0	1392.0
551.0	1420.0
552.0	1575.0
553.0	1427.0
554.0	1436.0
555.0	1423.0
556.0	1411.0
557.0	1368.0
558.0	1372.0
559.0	1296.0
560.0	1194.0
561.0	1223.0
562.0	1158.0
563.0	1136.0
564.0	1125.0
565.0	1149.0
566.0	1039.0
567.0	1057.0
568.0	1079.0
569.0	981.0
570.0	940.0
571.0	951.0
572.0	904.0
573.0	887.0
574.0	859.0
575.0	777.0
576.0	806.0
577.0	763.0
578.0	791.0
579.0	723.0
580.0	776.0
581.0	700.0
582.0	679.0
583.0	661.0
584.0	663.0
585.0	622.0
586.0	631.0
587.0	569.0
588.0	565.0
589.0	548.0
590.0	581.0
591.0	560.0
592.0	529.0
593.0	514.0
594.0	461.0
595.0	466.0
596.0	460.0
597.0	394.0
598.0	445.0
599.0	448.0
600.0	408.0
601.0	422.0
602.0	398.0
603.0	431.0
604.0	420.0
605.0	383.0
606.0	373.0
607.0	335.0
608.0	367.0
609.0	339.0
610.0	338.0
611.0	318.0
612.0	319.0
613.0	330.0
614.0	329.0
615.0	290.0
616.0	296.0
617.0	269.0
618.0	242.0
619.0	249.0
620.0	270.0
621.0	255.0
622.0	263.0
623.0	238.0
624.0	269.0
625.0	246.0
626.0	239.0
627.0	203.0
628.0	209.0
629.0	199.0
630.0	190.0
631.0	208.0
632.0	201.0
633.0	191.0
634.0	179.0
635.0	189.0
636.0	183.0
637.0	179.0
638.0	153.0
639.0	184.0
640.0	181.0
641.0	169.0
642.0	176.0
643.0	162.0
644.0	149.0
645.0	163.0
646.0	133.0
647.0	151.0
648.0	148.0
649.0	165.0
650.0	123.0
651.0	151.0
652.0	149.0
653.0	135.0
654.0	147.0
655.0	130.0
656.0	151.0
657.0	103.0
658.0	115.0
659.0	142.0
660.0	108.0
661.0	115.0
662.0	125.0
663.0	123.0
664.0	113.0
665.0	114.0
666.0	124.0
667.0	90.0
668.0	111.0
669.0	98.0
670.0	125.0
671.0	93.0
672.0	101.0
673.0	103.0
674.0	94.0
675.0	84.0
676.0	80.0
677.0	101.0
678.0	95.0
679.0	103.0
680.0	81.0
681.0	76.0
682.0	98.0
683.0	94.0
684.0	97.0
685.0	94.0
686.0	84.0
687.0	96.0
688.0	78.0
689.0	96.0
690.0	75.0
691.0	80.0
692.0	82.0
693.0	76.0
694.0	79.0
695.0	85.0
696.0	67.0
697.0	83.0
698.0	72.0
699.0	77.0
700.0	73.0
701.0	67.0
702.0	72.0
703.0	75.0
704.0	59.0
705.0	73.0
706.0	86.0
707.0	75.0
708.0	76.0
709.0	76.0
710.0	64.0
711.0	72.0
712.0	68.0
713.0	67.0
714.0	71.0
715.0	56.0
716.0	59.0
717.0	81.0
718.0	72.0
719.0	75.0
720.0	61.0
721.0	57.0
722.0	66.0
723.0	59.0
724.0	61.0
725.0	47.0
726.0	58.0
727.0	60.0
728.0	47.0
729.0	61.0
730.0	69.0
731.0	59.0
732.0	58.0
733.0	48.0
734.0	60.0
735.0	60.0
736.0	58.0
737.0	65.0
738.0	60.0
739.0	52.0
740.0	43.0
741.0	58.0
742.0	67.0
743.0	66.0
